Iteration	Posterior	Likelihood	Prior	mu_morpho	pi[1]	pi[2]	r[1]	r[2]	r[3]	r[4]	r[5]	r[6]	r[7]	r[8]	rate_01	rate_10
160	-43.3355	-49.3603	6.02478	0.8167852	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.9391124	0.6502966
170	-44.4439	-50.8031	6.35917	1.09719	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.1941572	0.6635915
180	-42.0907	-49.1472	7.05644	0.4142194	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.339203	0.5015257
190	-43.3084	-48.786	5.47756	0.5801974	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.225186	1.297025
200	-46.6182	-49.5405	2.92224	0.3572708	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	3.949853	1.878722
210	-42.3514	-48.8535	6.50205	0.4959005	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.7655636	0.637736
220	-41.601	-48.8201	7.21902	0.515132	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.2506707	0.2764809
230	-43.5565	-49.8531	6.29662	0.3252836	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.5234952	1.327333
240	-42.0596	-49.1323	7.07266	0.4170387	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.6539101	0.1641584
250	-43.0462	-48.7859	5.73974	0.554875	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	2.203706	0.0366261
260	-44.1836	-50.7941	6.61054	1.095686	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.1556174	0.4047724
270	-43.4274	-49.3699	5.94252	0.819161	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.8861392	0.7983463
280	-44.3715	-49.7725	5.40097	0.9089615	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.5250941	1.697003
290	-43.2511	-50.6558	7.40473	0.2668181	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.06803367	0.5336239
300	-44.8319	-51.4213	6.58948	1.197171	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.4194281	0.04524916
310	-42.3178	-49.318	7.00023	0.8061784	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.384575	0.05658791
320	-44.6866	-50.6315	5.94489	0.2682669	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	2.255651	0.08162029
330	-42.7287	-48.8051	6.07635	0.6098151	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.6406497	1.133707
340	-44.3333	-48.9062	4.57286	0.6736234	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.3150478	3.172658
350	-44.2892	-48.784	4.4948	0.5648887	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.665335	2.044663
360	-42.7375	-48.8097	6.07219	0.5230485	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.3136444	1.568919
370	-41.5422	-49.1341	7.59191	0.4166875	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.0067138	0.1938289
380	-46.7497	-51.1778	4.42806	1.158509	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.1525542	2.930415
390	-44.2906	-48.7841	4.49354	0.5636144	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.798595	2.914421
400	-45.5343	-52.0867	6.55242	0.2010259	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.419521	0.2747628
410	-44.6778	-49.8271	5.1493	0.327672	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	3.095396	0.1179998
420	-45.4792	-49.0233	3.54401	0.7200581	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.937495	2.719364
430	-41.6937	-48.826	7.13232	0.5111622	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.5460781	0.08897972
440	-42.734	-48.9677	6.23367	0.4547876	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.9227952	0.8488311
450	-41.629	-48.7969	7.16795	0.5356058	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.382641	0.1809283
460	-43.9421	-48.7847	4.84258	0.5749307	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	2.334348	0.9498146
470	-45.7507	-51.245	5.49426	0.2357126	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.771056	1.14125
480	-41.706	-48.7842	7.07817	0.571834	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.2811333	0.3461637
490	-43.8432	-48.8467	5.00351	0.4993247	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	2.536871	0.6457488
500	-47.1417	-48.9592	1.81752	0.6962839	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	6.457809	0.2820251
510	-44.0248	-48.8229	4.79806	0.5132202	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	2.060003	1.350589
520	-43.2991	-49.093	5.79394	0.7431066	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.183318	0.768498
530	-45.0148	-48.7844	3.76961	0.5615736	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	2.207959	2.369029
540	-42.6275	-49.0082	6.38071	0.7147268	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.006874422	1.280411
550	-41.6279	-48.9381	7.31021	0.4635375	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.3644387	0.1155964
560	-42.0423	-49.5164	7.47406	0.360096	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.3049067	0.1032377
570	-44.0738	-50.2795	6.20565	0.2911735	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.04064229	1.959037
580	-42.0908	-48.8263	6.73548	0.6281894	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.01172176	0.9563369
590	-42.3807	-48.8363	6.45557	0.5049671	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.6051784	0.8426459
600	-45.2579	-49.8436	4.58571	0.9234268	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.6497681	2.525357
610	-42.9478	-49.373	6.42526	0.8199316	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.084336	0.02471789
620	-43.7721	-49.5781	5.80607	0.3529805	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.020912	1.380751
630	-43.5357	-49.4979	5.96227	0.8495452	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.3378324	1.286979
640	-46.3671	-49.2501	2.88303	0.7884586	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	2.228248	3.133835
650	-41.8787	-49.1673	7.28856	0.4105261	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.04512085	0.5237633
660	-42.2203	-48.8214	6.60102	0.6244121	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.6901521	0.4424248
670	-44.8578	-50.4199	5.56203	0.2815767	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.6086723	2.168404
680	-44.2232	-48.7952	4.572	0.598061	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	2.913434	0.6652184
690	-43.9213	-48.9242	5.00287	0.6817401	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	2.646969	0.3193194
700	-42.9993	-48.9651	5.9658	0.455529	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.789392	1.300135
710	-43.5675	-49.2078	5.6403	0.7769206	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.7387959	1.35562
720	-43.5985	-49.0281	5.42961	0.7217523	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.7425044	1.668306
730	-42.954	-48.7889	5.83495	0.5474973	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.166017	0.9697807
740	-43.1561	-49.5455	6.38936	0.3566954	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.4691362	1.233942
750	-42.719	-49.1452	6.42617	0.7589889	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.132355	0.04815428
760	-43.6099	-49.1252	5.51536	0.418395	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.04952867	2.620255
770	-42.8429	-49.9064	7.06345	0.9359189	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.05198923	0.1595357
780	-44.8038	-48.9357	4.13184	0.6866688	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	2.567258	1.429767
790	-45.7663	-48.7877	3.02138	0.5849147	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.368683	4.070991
800	-43.3855	-49.0907	5.70518	0.7423777	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.4069394	1.651381
810	-42.6278	-49.9693	7.34155	0.3151107	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.330698	0.2886783
820	-41.5742	-48.799	7.22485	0.6030605	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.191727	0.2238489
830	-45.7451	-49.0826	3.33744	0.4270128	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.5532666	4.69819
840	-43.7784	-48.7945	5.01608	0.5970936	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.664277	1.387032
850	-42.916	-48.9815	6.06553	0.7049194	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.7804537	0.8935856
860	-44.3722	-48.8078	4.43565	0.5245908	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	2.603925	1.224428
870	-41.8714	-48.8638	6.99241	0.652156	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.151615	0.4821511
880	-43.9925	-48.8629	4.87037	0.4914755	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.766931	1.583474
890	-44.2534	-49.7911	5.53769	0.3310492	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.1626936	2.584467
900	-44.4774	-48.784	4.30667	0.5648083	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	2.492445	1.441548
910	-41.7689	-49.1889	7.41994	0.4066978	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.3886354	0.02844848
920	-46.7778	-50.4549	3.67712	1.037584	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.557947	3.562621
930	-48.4708	-52.3245	3.85375	1.334791	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.514175	2.042488
940	-41.8179	-48.8693	7.05137	0.4886205	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.3824229	0.3757998
950	-44.8042	-49.0227	4.21844	0.7198559	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.7893464	3.065123
960	-43.036	-48.8297	5.79371	0.5088218	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.08278	1.148134
970	-43.3921	-48.8226	5.43051	0.6253807	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	2.416702	0.1077353
980	-43.2163	-49.1713	5.95501	0.4098063	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.73964	0.4171488
990	-41.631	-49.0468	7.41579	0.434839	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.3195101	0.06902895
1000	-44.606	-48.8727	4.26675	0.6570337	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	3.451086	0.4206591
