Iteration	Replicate_ID	Posterior	Likelihood	Prior	mu_morpho	pi[1]	pi[2]	r[1]	r[2]	r[3]	r[4]	r[5]	r[6]	r[7]	r[8]	rate_01	rate_10
59	1	-50.5324	-51.7333	1.20095	1.245607	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	2.192913	4.626956
60	0	-44.8319	-51.4213	6.58948	1.197171	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.4194281	0.04524916
61	1	-42.2336	-48.8567	6.62307	0.4943553	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.1069659	1.154148
62	0	-42.3178	-49.318	7.00023	0.8061784	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.384575	0.05658791
63	1	-42.0787	-48.8554	6.77668	0.4949929	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.5059015	0.5716397
64	0	-44.6866	-50.6315	5.94489	0.2682669	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	2.255651	0.08162029
65	1	-43.2658	-48.8001	5.53428	0.5320455	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.7590856	1.752928
66	0	-42.7287	-48.8051	6.07635	0.6098151	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.6406497	1.133707
67	1	-47.2162	-50.4687	3.25253	0.2783867	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.475038	4.054345
68	0	-44.3333	-48.9062	4.57286	0.6736234	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.3150478	3.172658
69	1	-41.9014	-49.3295	7.42809	0.3844557	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.07058264	0.3632776
70	0	-44.2892	-48.784	4.4948	0.5648887	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.665335	2.044663
71	1	-41.4992	-48.8088	7.30958	0.6134907	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.1850038	0.1173129
72	0	-42.7375	-48.8097	6.07219	0.5230485	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.3136444	1.568919
73	1	-44.907	-49.274	4.36694	0.7947847	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.988203	1.600364
74	0	-41.5422	-49.1341	7.59191	0.4166875	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.0067138	0.1938289
75	1	-43.4102	-49.2479	5.83765	0.3968403	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.3635463	1.948335
76	0	-46.7497	-51.1778	4.42806	1.158509	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.1525542	2.930415
77	1	-45.2187	-49.7435	4.52478	0.9029839	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.1037555	3.16821
78	0	-44.2906	-48.7841	4.49354	0.5636144	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.798595	2.914421
79	1	-43.7055	-50.4196	6.7141	1.031367	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.2032289	0.310463
80	0	-45.5343	-52.0867	6.55242	0.2010259	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.419521	0.2747628
