Iteration	Posterior	Likelihood	Prior	mu_morpho	pi[1]	pi[2]	r[1]	r[2]	r[3]	r[4]	r[5]	r[6]	r[7]	r[8]	rate_01	rate_10
510	-42.7042	-48.9086	6.2044	0.4732839	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.611317	0.1731228
520	-41.9058	-48.7859	6.88015	0.5800492	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.1115863	0.7415939
530	-43.3176	-49.0281	5.71054	0.4391928	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	2.086439	0.3263155
540	-44.3897	-48.9698	4.58008	0.7004531	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.6383754	2.808802
550	-45.3604	-48.7878	3.42735	0.5499338	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.6956797	4.302483
560	-43.8581	-48.8884	5.03029	0.6650986	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	2.19405	0.7594169
570	-43.2423	-49.2831	6.04078	0.7971678	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.4973627	1.096359
580	-42.7146	-48.7923	6.07769	0.5418478	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.809965	0.04367693
590	-42.5123	-49.0011	6.48884	0.7121742	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.016512	0.1451193
600	-42.22	-48.9381	6.71803	0.4635479	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.433497	0.7512651
610	-42.6893	-48.7853	6.09603	0.556835	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.769923	0.04406232
620	-42.6914	-49.6869	6.99551	0.3413236	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.4792216	0.5207798
630	-45.3689	-49.9619	4.59297	0.3157389	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.303433	2.586253
640	-45.799	-51.4388	5.63974	0.2268754	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	2.258482	0.4912067
650	-45.0543	-50.379	5.32472	0.284303	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	2.233281	0.8229688
660	-43.334	-49.8545	6.52048	0.325162	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.093407	0.491157
670	-44.1597	-49.4938	5.33414	0.8486022	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.895173	0.4782905
680	-41.3516	-48.8735	7.52188	0.4868193	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.1150663	0.08535499
690	-47.1893	-51.3186	4.12929	1.180958	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.7682231	2.643594
700	-46.8199	-50.1982	3.37828	0.2970518	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.4772548	4.880256
710	-43.2013	-48.8495	5.64818	0.6437889	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.4239855	1.819492
