Iteration	Replicate_ID	Posterior	Likelihood	Prior	R
207	1	-32.8083	-32.7968	-0.0114936	0.01149362
208	0	-34.7016	-32.7968	-1.90479	1.904786
209	1	-32.8154	-32.7968	-0.0185702	0.01857015
210	0	-34.1066	-32.7968	-1.30984	1.309841
211	1	-32.8234	-32.7968	-0.0265971	0.0265971
212	0	-34.9816	-32.7968	-2.18484	2.184837
213	1	-32.8103	-32.7968	-0.0135269	0.01352691
214	0	-34.1573	-32.7968	-1.36053	1.36053
215	1	-32.8096	-32.7968	-0.012865	0.01286504
216	0	-34.7053	-32.7968	-1.90851	1.908513
217	1	-32.8053	-32.7968	-0.00852227	0.00852227
218	0	-35.4764	-32.7968	-2.67964	2.679637
219	1	-32.8087	-32.7968	-0.0119504	0.01195037
220	0	-36.3279	-32.7968	-3.53115	3.531151
221	1	-32.8082	-32.7968	-0.0113704	0.01137036
222	0	-34.4341	-32.7968	-1.63737	1.63737
223	1	-32.809	-32.7968	-0.0121719	0.01217193
224	0	-33.9741	-32.7968	-1.17737	1.177366
225	1	-32.8042	-32.7968	-0.00746692	0.007466925
226	0	-33.698	-32.7968	-0.901175	0.9011749
227	1	-32.8055	-32.7968	-0.00872937	0.008729373
228	0	-34.1423	-32.7968	-1.34549	1.345489
229	1	-32.8061	-32.7968	-0.00927788	0.009277883
230	0	-33.9053	-32.7968	-1.10856	1.108564
231	1	-32.8115	-32.7968	-0.0147575	0.01475749
232	0	-34.3771	-32.7968	-1.58031	1.580312
233	1	-32.8115	-32.7968	-0.0147575	0.01475749
234	0	-33.5374	-32.7968	-0.740606	0.7406062
235	1	-32.8182	-32.7968	-0.0213839	0.02138392
236	0	-33.9448	-32.7968	-1.14799	1.147992
237	1	-32.8145	-32.7968	-0.0177158	0.01771581
238	0	-34.4425	-32.7968	-1.64576	1.645764
239	1	-32.827	-32.7968	-0.0302413	0.03024134
240	0	-33.8675	-32.7968	-1.07067	1.070673
241	1	-32.8199	-32.7968	-0.0230832	0.0230832
242	0	-33.6775	-32.7968	-0.880746	0.8807463
243	1	-32.8322	-32.7968	-0.0354315	0.03543151
244	0	-34.3421	-32.7968	-1.5453	1.545298
245	1	-32.82	-32.7968	-0.0231743	0.02317426
246	0	-34.0576	-32.7968	-1.26085	1.260855
247	1	-32.8107	-32.7968	-0.013966	0.01396603
248	0	-35.4119	-32.7968	-2.61516	2.615155
249	1	-32.8151	-32.7968	-0.0183093	0.01830933
250	0	-34.913	-32.7968	-2.11625	2.116255
251	1	-32.8358	-32.7968	-0.0390283	0.03902832
252	0	-36.0561	-32.7968	-3.25933	3.259329
253	1	-32.8367	-32.7968	-0.0399561	0.03995613
254	0	-36.0833	-32.7968	-3.28654	3.286539
255	1	-32.8388	-32.7968	-0.0419803	0.04198032
256	0	-34.7308	-32.7968	-1.93403	1.934035
257	1	-32.8628	-32.7968	-0.0660381	0.06603808
258	0	-35.8168	-32.7968	-3.01997	3.019974
259	1	-32.8628	-32.7968	-0.0660351	0.0660351
260	0	-34.1707	-32.7968	-1.37391	1.373911
261	1	-32.8605	-32.7968	-0.0636945	0.06369453
262	0	-33.8382	-32.7968	-1.04142	1.041425
263	1	-32.8755	-32.7968	-0.0787585	0.07875847
264	0	-33.48	-32.7968	-0.683261	0.6832611
265	1	-32.8732	-32.7968	-0.0764272	0.07642721
266	0	-33.2836	-32.7968	-0.486809	0.4868095
267	1	-32.8325	-32.7968	-0.0357513	0.03575135
268	0	-33.1172	-32.7968	-0.320429	0.3204294
269	1	-32.8305	-32.7968	-0.0336861	0.03368608
270	0	-33.2137	-32.7968	-0.416945	0.4169448
271	1	-32.8611	-32.7968	-0.0643508	0.06435082
272	0	-33.2353	-32.7968	-0.438567	0.4385669
273	1	-32.8893	-32.7968	-0.0925498	0.09254982
274	0	-33.7663	-32.7968	-0.969564	0.9695642
275	1	-32.948	-32.7968	-0.151242	0.1512423
276	0	-33.5115	-32.7968	-0.714704	0.7147038
277	1	-32.9441	-32.7968	-0.147302	0.1473016
278	0	-33.2575	-32.7968	-0.460694	0.4606943
279	1	-32.9742	-32.7968	-0.177468	0.1774684
280	0	-33.2581	-32.7968	-0.461287	0.4612873
281	1	-32.9328	-32.7968	-0.136011	0.1360105
282	0	-33.2392	-32.7968	-0.442447	0.442447
283	1	-32.9848	-32.7968	-0.188058	0.1880581
284	0	-33.144	-32.7968	-0.347188	0.3471876
285	1	-33.1312	-32.7968	-0.334388	0.334388
286	0	-33.0724	-32.7968	-0.275589	0.2755891
287	1	-33.1847	-32.7968	-0.387891	0.3878915
288	0	-33.1479	-32.7968	-0.351093	0.3510932
289	1	-33.277	-32.7968	-0.480214	0.4802136
290	0	-33.2245	-32.7968	-0.427726	0.427726
291	1	-33.3782	-32.7968	-0.58145	0.5814498
292	0	-33.1636	-32.7968	-0.366838	0.3668381
293	1	-33.4859	-32.7968	-0.689093	0.6890926
294	0	-33.0813	-32.7968	-0.284529	0.2845285
295	1	-33.2584	-32.7968	-0.461658	0.4616584
296	0	-33.1178	-32.7968	-0.321022	0.3210216
297	1	-33.1488	-32.7968	-0.352069	0.3520688
298	0	-32.949	-32.7968	-0.152208	0.1522085
299	1	-33.1726	-32.7968	-0.375846	0.3758456
300	0	-32.9416	-32.7968	-0.144798	0.1447982
301	1	-33.2033	-32.7968	-0.406504	0.4065045
302	0	-33.0204	-32.7968	-0.223658	0.2236576
303	1	-33.155	-32.7968	-0.358237	0.3582367
304	0	-32.9977	-32.7968	-0.200919	0.2009194
305	1	-32.9422	-32.7968	-0.145393	0.1453928
306	0	-33.0215	-32.7968	-0.224703	0.2247032
307	1	-32.9504	-32.7968	-0.153573	0.153573
308	0	-32.9689	-32.7968	-0.172146	0.1721461
309	1	-32.9965	-32.7968	-0.199679	0.1996787
310	0	-32.979	-32.7968	-0.182227	0.1822267
311	1	-33.0109	-32.7968	-0.21409	0.2140897
312	0	-33.0222	-32.7968	-0.225388	0.2253882
313	1	-33.1094	-32.7968	-0.312575	0.3125752
314	0	-33.023	-32.7968	-0.226181	0.2261812
315	1	-33.0438	-32.7968	-0.24701	0.2470105
316	0	-32.9345	-32.7968	-0.13772	0.1377199
317	1	-33.1003	-32.7968	-0.303538	0.3035379
318	0	-32.9372	-32.7968	-0.140464	0.1404636
319	1	-33.1003	-32.7968	-0.303538	0.3035379
320	0	-33.0366	-32.7968	-0.239785	0.239785
321	1	-33.2753	-32.7968	-0.478539	0.4785385
322	0	-32.9442	-32.7968	-0.147427	0.1474274
323	1	-33.1501	-32.7968	-0.353273	0.3532733
324	0	-32.9413	-32.7968	-0.144539	0.1445385
325	1	-33.2631	-32.7968	-0.466367	0.4663671
326	0	-32.9589	-32.7968	-0.162109	0.1621088
327	1	-33.8959	-32.7968	-1.09913	1.099127
328	0	-33.0247	-32.7968	-0.227969	0.2279686
329	1	-33.4603	-32.7968	-0.663561	0.6635611
330	0	-32.974	-32.7968	-0.177177	0.1771775
331	1	-33.5736	-32.7968	-0.776864	0.7768637
332	0	-32.941	-32.7968	-0.14423	0.1442297
333	1	-33.4086	-32.7968	-0.611821	0.6118208
334	0	-33.0401	-32.7968	-0.243352	0.2433519
335	1	-33.5131	-32.7968	-0.716296	0.7162962
336	0	-33.1601	-32.7968	-0.363345	0.3633454
337	1	-33.2865	-32.7968	-0.489715	0.4897149
338	0	-33.7179	-32.7968	-0.92115	0.9211498
339	1	-33.2642	-32.7968	-0.467442	0.4674424
340	0	-33.823	-32.7968	-1.02625	1.026249
341	1	-33.049	-32.7968	-0.252208	0.2522084
342	0	-33.5726	-32.7968	-0.775843	0.7758429
343	1	-33.1379	-32.7968	-0.34109	0.3410904
344	0	-33.5863	-32.7968	-0.789501	0.7895015
345	1	-33.2822	-32.7968	-0.485422	0.4854222
346	0	-33.2733	-32.7968	-0.476487	0.4764873
347	1	-32.9993	-32.7968	-0.202541	0.2025409
