Iteration	Posterior	Likelihood	Prior	R
189	-33.2646	-32.7968	-0.467796	0.4677959
190	-33.0818	-32.7968	-0.285062	0.2850622
191	-33.0602	-32.7968	-0.26345	0.2634499
192	-33.0697	-32.7968	-0.272932	0.272932
193	-33.2907	-32.7968	-0.493886	0.4938857
194	-33.3828	-32.7968	-0.585982	0.5859818
195	-33.4554	-32.7968	-0.658586	0.658586
196	-33.4807	-32.7968	-0.683945	0.6839455
197	-33.3596	-32.7968	-0.562773	0.5627732
198	-33.343	-32.7968	-0.546258	0.546258
199	-33.5714	-32.7968	-0.77461	0.7746103
200	-33.5989	-32.7968	-0.802121	0.8021207
201	-33.2138	-32.7968	-0.417039	0.4170386
202	-32.993	-32.7968	-0.196251	0.1962508
203	-32.8824	-32.7968	-0.0856149	0.08561488
204	-32.8952	-32.7968	-0.0983718	0.09837179
205	-32.9369	-32.7968	-0.140155	0.1401551
206	-32.8874	-32.7968	-0.0906031	0.09060312
207	-33.0074	-32.7968	-0.210636	0.2106363
208	-33.3765	-32.7968	-0.579755	0.5797555
209	-33.3765	-32.7968	-0.579755	0.5797555
210	-33.3873	-32.7968	-0.590515	0.5905154
211	-34.5559	-32.7968	-1.75915	1.759149
212	-33.4757	-32.7968	-0.678932	0.6789323
213	-32.9573	-32.7968	-0.160554	0.1605537
214	-33.1283	-32.7968	-0.33157	0.3315695
215	-32.9247	-32.7968	-0.127953	0.1279525
216	-32.996	-32.7968	-0.199269	0.1992692
217	-32.9342	-32.7968	-0.137407	0.137407
218	-32.9686	-32.7968	-0.171828	0.1718276
219	-32.9193	-32.7968	-0.122532	0.122532
220	-32.8692	-32.7968	-0.0723801	0.07238012
221	-32.8776	-32.7968	-0.0808212	0.08082115
222	-32.8569	-32.7968	-0.0601262	0.06012616
223	-32.8527	-32.7968	-0.0559591	0.05595909
224	-32.8505	-32.7968	-0.0537315	0.05373151
225	-32.8391	-32.7968	-0.0422892	0.04228922
226	-32.8214	-32.7968	-0.0245975	0.02459751
227	-32.8635	-32.7968	-0.0666936	0.06669365
228	-32.9292	-32.7968	-0.132421	0.1324213
229	-33.1082	-32.7968	-0.311384	0.3113836
230	-33.2728	-32.7968	-0.476052	0.4760517
231	-33.1445	-32.7968	-0.347763	0.3477629
232	-33.2194	-32.7968	-0.422656	0.4226562
233	-33.306	-32.7968	-0.509249	0.5092489
234	-33.9055	-32.7968	-1.10867	1.108673
235	-33.522	-32.7968	-0.725248	0.7252481
236	-33.1948	-32.7968	-0.398015	0.398015
237	-33.2235	-32.7968	-0.426764	0.4267642
238	-34.087	-32.7968	-1.29025	1.290253
239	-33.2794	-32.7968	-0.482642	0.4826424
240	-32.9989	-32.7968	-0.202091	0.202091
241	-33.1829	-32.7968	-0.386092	0.3860924
242	-32.968	-32.7968	-0.171207	0.1712066
243	-32.9053	-32.7968	-0.10849	0.10849
244	-33.3233	-32.7968	-0.526512	0.5265118
245	-33.481	-32.7968	-0.68418	0.6841798
246	-34.4678	-32.7968	-1.67097	1.670975
247	-34.2847	-32.7968	-1.4879	1.487902
248	-33.3634	-32.7968	-0.566621	0.5666211
249	-33.357	-32.7968	-0.560188	0.5601876
250	-33.0969	-32.7968	-0.300167	0.3001671
251	-32.9144	-32.7968	-0.117585	0.1175852
252	-32.9755	-32.7968	-0.178768	0.1787677
253	-32.8707	-32.7968	-0.0739028	0.0739028
254	-32.8707	-32.7968	-0.0739028	0.0739028
255	-32.8704	-32.7968	-0.0736154	0.07361539
256	-33.1301	-32.7968	-0.333347	0.3333475
257	-33.1371	-32.7968	-0.340365	0.3403646
258	-33.1252	-32.7968	-0.328426	0.3284255
259	-33.2734	-32.7968	-0.476633	0.4766333
260	-33.5068	-32.7968	-0.710058	0.7100578
261	-34.0755	-32.7968	-1.27872	1.278716
262	-34.8508	-32.7968	-2.05401	2.054011
263	-33.7112	-32.7968	-0.91439	0.9143902
264	-33.4994	-32.7968	-0.70261	0.7026099
265	-33.0632	-32.7968	-0.266457	0.2664571
266	-33.739	-32.7968	-0.942212	0.9422124
267	-33.739	-32.7968	-0.942212	0.9422124
268	-33.1177	-32.7968	-0.320907	0.3209073
269	-32.9652	-32.7968	-0.168388	0.1683882
270	-33.1625	-32.7968	-0.365736	0.3657364
271	-33.5335	-32.7968	-0.736723	0.7367234
272	-33.894	-32.7968	-1.09718	1.097183
273	-34.3718	-32.7968	-1.57504	1.575042
274	-34.5592	-32.7968	-1.76242	1.762417
275	-33.5565	-32.7968	-0.759757	0.7597572
276	-34.8218	-32.7968	-2.02503	2.02503
277	-33.6775	-32.7968	-0.880692	0.8806922
278	-33.1214	-32.7968	-0.324592	0.3245917
279	-33.0933	-32.7968	-0.296555	0.296555
280	-33.0933	-32.7968	-0.296555	0.296555
281	-33.0153	-32.7968	-0.218472	0.2184719
282	-33.0944	-32.7968	-0.297571	0.2975712
283	-33.0535	-32.7968	-0.256739	0.2567391
284	-33.0938	-32.7968	-0.297013	0.2970133
285	-33.1245	-32.7968	-0.327681	0.3276813
286	-33.0949	-32.7968	-0.298073	0.2980735
287	-33.3954	-32.7968	-0.598667	0.5986675
288	-35.0266	-32.7968	-2.22982	2.229825
289	-35.0432	-32.7968	-2.24646	2.246459
290	-33.6092	-32.7968	-0.812447	0.8124472
291	-33.5884	-32.7968	-0.791662	0.7916623
292	-34.3193	-32.7968	-1.52257	1.522567
293	-33.8425	-32.7968	-1.04571	1.045712
294	-34.5823	-32.7968	-1.7855	1.785497
295	-33.9049	-32.7968	-1.10817	1.108168
296	-34.4833	-32.7968	-1.68652	1.686524
297	-34.3579	-32.7968	-1.56112	1.561119
298	-35.325	-32.7968	-2.52818	2.528178
299	-33.6778	-32.7968	-0.881033	0.8810326
