Iteration	Posterior	Likelihood	Prior	cw	lb	to
145	-34.374	-31.5582	-2.81576	0.5603693	0.9199386	1.335455
146	-34.4749	-32.0918	-2.38312	0.3614999	0.6762272	1.345394
147	-35.159	-32.5236	-2.63543	0.3614999	1.113534	1.160398
148	-34.3854	-31.0297	-3.35577	0.8224177	0.6847169	1.848637
149	-33.7044	-30.4784	-3.226	1.120938	0.6847169	1.420349
150	-34.278	-30.7155	-3.56255	1.349676	1.059636	1.153238
151	-34.3992	-30.8038	-3.59535	1.674785	0.9725306	0.9480333
152	-36.2103	-30.6318	-5.57855	1.722006	1.190892	2.665648
153	-34.5734	-30.3223	-4.25107	1.722006	0.8124347	1.716627
154	-33.8321	-30.3881	-3.44394	1.75754	0.600884	1.085517
155	-33.8093	-31.4962	-2.31314	1.019436	0.8185616	0.4751404
156	-33.4832	-31.2144	-2.26873	1.23099	0.5626047	0.4751404
157	-32.778	-30.603	-2.17501	0.7822915	0.5891992	0.8035143
158	-32.7955	-30.8417	-1.95384	0.7822915	0.6095142	0.5620367
159	-33.3434	-31.3022	-2.04126	0.4842424	0.7150844	0.8419302
160	-32.6007	-30.7422	-1.85856	0.6966164	0.5632243	0.5987167
161	-32.7155	-30.5638	-2.15177	1.225133	0.3279244	0.5987167
162	-31.9287	-30.5416	-1.38711	0.4682426	0.3201553	0.5987167
163	-31.566	-30.5328	-1.0332	0.5484734	0.190883	0.293843
164	-31.4185	-30.4879	-0.930623	0.5484734	0.09480249	0.2873469
165	-32.2079	-31.0859	-1.12199	0.761891	0.07275471	0.2873469
166	-31.6017	-30.3309	-1.27074	0.652928	0.1016982	0.5161184
167	-31.5695	-30.4147	-1.15485	0.4704461	0.1016982	0.5827058
168	-31.7257	-30.4478	-1.27785	0.4471639	0.2479832	0.5827058
169	-31.6426	-30.6079	-1.03468	0.4471639	0.2709942	0.3165192
170	-31.9335	-30.8778	-1.05564	0.4620568	0.3139858	0.2795955
171	-32.7762	-31.6456	-1.13054	0.3304479	0.5092385	0.2908574
172	-32.5734	-31.3112	-1.26223	0.3734215	0.5092385	0.3795691
