Iteration	Posterior	Likelihood	Prior	bl	cw	ht	lb	lo	ol	ot	th	to	tw	wc	wt
98	-57.6401	-33.0099	-24.6302	0.8881106	2.860767	1.306344	1.841063	0.1286665	0.4959318	0.4802947	3.383441	3.230336	3.696839	2.383419	3.935001
99	-58.7831	-33.7601	-25.023	0.8881106	2.554	1.306344	2.012108	0.09067472	0.4370077	0.7712866	2.8045	2.087544	3.696839	2.383419	5.991176
100	-54.6087	-32.9343	-21.6744	0.9653277	1.869735	0.6906792	1.360397	0.09166014	0.6253923	0.4842157	1.856214	1.211619	3.696839	1.881205	6.941089
101	-53.8203	-31.2829	-22.5374	0.9653277	2.771298	1.151483	0.8370096	0.07895297	1.789767	0.7066391	2.231138	1.539002	3.696839	1.446021	5.323917
102	-51.9847	-30.6558	-21.3288	0.2423105	2.771298	1.136151	0.6997564	0.1135715	1.574025	1.102093	2.231138	1.235259	3.696839	2.219859	4.306511
103	-55.483	-33.3693	-22.1137	0.1771388	2.036379	1.837022	0.4824477	0.07877526	2.677084	1.374631	2.231138	2.394737	3.807404	1.364682	3.65229
104	-53.5872	-32.6267	-20.9605	0.1786888	2.166406	1.609961	0.4824477	0.07636763	1.729528	1.221734	2.231138	2.394737	4.975814	0.7855822	3.10809
105	-52.3365	-32.321	-20.0155	0.1916143	1.54512	2.22719	0.4824477	0.05838531	1.168292	1.035838	1.826766	2.287615	5.53424	0.7855822	2.87243
106	-52.0769	-31.7408	-20.3361	0.2362683	1.100584	2.953166	0.4218381	0.08373803	1.008988	0.7898591	1.075822	3.141984	5.808738	1.093493	2.621637
107	-45.6722	-30.9648	-14.7074	0.2487841	1.180004	2.75704	0.2754319	0.08373803	1.008988	0.6977575	1.059539	1.189038	2.895703	0.689726	2.621637
108	-46.0176	-31.0714	-14.9462	0.4274261	1.145653	2.75704	0.3060869	0.1216249	1.293528	0.495305	1.059539	1.493573	2.676378	0.4632419	2.706837
109	-45.9983	-30.5246	-15.4737	0.1228778	1.145653	2.332945	0.4338391	0.1578569	1.293528	0.495305	1.500224	1.585228	2.676378	0.5491008	3.18076
110	-46.6978	-30.7365	-15.9613	0.2682741	0.8216352	1.89806	0.4338391	0.1219271	1.293528	0.5624833	2.8413	2.645175	1.972764	0.5480853	2.554196
111	-42.8633	-31.3584	-11.5049	0.1728972	0.5370415	1.418934	0.4222343	0.1219271	0.4015488	0.9029127	1.32546	1.716924	1.355696	0.5751769	2.554196
112	-40.8038	-30.8045	-9.99937	0.1684398	0.5370415	2.054098	0.4969536	0.1757117	0.4015488	0.9029127	0.9564098	2.108788	0.781935	0.5751769	0.8403564
113	-42.6133	-32.7137	-9.89962	0.1519706	0.5370415	1.470314	1.412457	0.1907593	0.4015488	0.5471033	0.9680303	2.108788	1.035973	0.4927634	0.5828667
