Iteration	Replicate_ID	Posterior	Likelihood	Prior	bl	cw	ht	lb	lo	ol	ot	th	to	tw	wc	wt
58	0	-53.9055	-30.4168	-23.4887	0.4162842	3.257402	8.295883	1.060439	0.9535384	2.27871	0.908376	1.044118	1.879383	1.873438	1.284296	0.2367921
59	1	-43.8604	-30.0179	-13.8424	0.3592023	2.653384	0.2038356	0.2977926	0.4551877	1.859649	0.466047	1.046763	1.643848	2.582592	1.669612	0.6045272
60	0	-50.2043	-30.4906	-19.7138	0.6829495	3.05469	4.968995	1.039439	0.9168964	2.27871	0.8963773	1.240173	1.26154	1.873438	1.114079	0.3865051
61	1	-41.5649	-30.3346	-11.2303	0.1870729	1.74901	0.2444378	0.1709814	0.4551877	1.704353	0.6611069	0.7291858	1.469268	1.72652	1.669612	0.4635758
62	0	-46.3836	-30.8649	-15.5187	0.3184856	2.228698	2.683099	0.8199816	0.7037714	1.47539	1.178454	2.075531	0.9965034	1.873438	1.008431	0.1569625
63	1	-43.9454	-30.7079	-13.2375	0.2388727	3.970874	0.2444378	0.1098875	0.3480139	2.171654	0.2760409	0.3812999	2.286129	1.092777	1.669612	0.447887
64	0	-45.8652	-30.7905	-15.0747	0.2562172	2.10164	1.927471	1.40595	0.5069034	1.689266	1.033532	2.313974	0.739095	1.61591	1.29073	0.193985
65	1	-40.1941	-30.9258	-9.26826	0.5043077	1.883877	0.2600828	0.08502141	0.2661144	1.689045	0.3171967	0.3069225	1.84621	0.6707464	1.127224	0.3115139
66	0	-45.5166	-31.0783	-14.4382	0.2409733	1.201052	2.64781	1.481244	0.5069034	1.843873	1.136793	2.038909	0.8179573	1.61591	0.731591	0.1752216
67	1	-39.1728	-30.2686	-8.90421	0.4434497	2.129503	0.1886925	0.05344665	0.2906003	1.025656	0.2063441	0.5432364	1.84621	0.2085996	1.656961	0.3115139
68	0	-45.2702	-30.7294	-14.5407	0.1782268	1.009933	2.64781	1.485082	0.4631115	1.843873	1.136793	2.728913	0.8179573	0.6775683	1.330835	0.2206091
69	1	-41.8787	-30.4486	-11.4301	0.4434497	3.663137	0.2666697	0.05083691	0.2483832	1.025656	0.285249	0.8226484	2.010319	0.299992	1.938773	0.3749567
70	0	-43.8007	-31.0316	-12.769	0.1297514	0.7848072	2.627423	1.485082	0.4429864	0.9889127	0.8904326	2.697212	0.8413023	0.9151993	0.7234358	0.2425027
71	1	-41.0171	-30.4794	-10.5376	0.60206	3.480387	0.2216547	0.06737838	0.2483832	0.9573653	0.288465	0.8320225	1.075992	0.299992	2.091848	0.3720843
72	0	-43.8561	-30.6921	-13.164	0.1576559	0.5514579	3.409368	1.485082	0.4429864	0.7058499	0.6275697	2.697212	0.9044313	0.9151993	1.017964	0.2492497
73	1	-41.8145	-30.6729	-11.1417	0.60206	3.085093	0.304747	0.07569698	0.1399738	1.397424	0.3535894	0.8320225	1.069035	0.4081293	2.433421	0.4404601
74	0	-41.0497	-30.0843	-10.9654	0.2471261	0.7509027	2.946723	0.8358922	0.3003908	1.101301	0.4181259	1.196003	0.6000101	0.9151993	1.422065	0.2316578
75	1	-44.531	-31.4501	-13.0809	0.6341142	2.443431	0.282113	0.1054294	0.0986143	1.921037	1.718013	0.4420238	2.306293	0.4375759	2.433421	0.2588512
76	0	-39.7063	-29.78	-9.92631	0.2630637	0.7080777	2.495236	0.8986098	0.4944434	1.194254	0.4181259	0.9040723	0.6500267	0.7235453	0.9668414	0.210015
77	1	-42.5522	-31.6018	-10.9504	0.4449917	1.328929	0.282113	0.1054294	0.1977393	1.893254	2.100117	0.3678705	1.866076	0.277078	1.629465	0.4572978
78	0	-40.0967	-31.1901	-8.9066	0.3556318	0.5044661	2.138496	1.178065	0.4944434	0.5944444	0.35756	0.5638535	0.371165	0.6368752	1.561916	0.1496844
