Filename,STEREO?,"Video name (or master, or left)",Secondary,Species,Architecture,Zooid number,optics,Speed range,Fluorescein?,Jet frames,Frontal CSA frame,DVZS frame,Scale Length mm,FPS,What was done,Comment,
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\22Sept2021\Field\z_stereo\master,Yes,A001C0346_20210922220601_0001,B003C0322_20210922220602_0001,Iasis cylindrica,Linear,36,darkfield,2-5s,Yes,yes,No,5s,,120,Speeds uploaded to Drive; zooid length & width,"good dye, ask kelly about rotation; given to Anneliese",
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\22Sept2021\Field\z_stereo\master,Yes,A001C0348_20210922220852_0001,B003C0324_20210922220853_0001,Ritteriella sp.,Bipinnate,38,darkfield,Yes,Yes,yes 0:33,Yes,,,120,Speeds uploaded to Drive; zooid length & width,good dye; hard to count zooid numbers,
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\22Sept2021\Field\z_stereo\master,Yes,A001C0349_20210922220958_0001,B003C0325_20210922220959_0001,Ritteriella sp.,Bipinnate,31,darkfield,0-7,Yes,yes,,,,120,Speeds uploaded to Drive; zooid length & width,dye,
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\22Sept2021\Field\z_stereo\master,Yes,A001C0350_20210922221154_0001,B003C0326_20210922221155_0001,Salpa fusiformis,Linear,16,darkfield,,Yes,"11-16s, 24-28s",around 40s,50s,,120,Speeds uploaded to Drive,good dye,
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\22Sept2021\Field\z_stereo\master,Yes,A001C0351_20210922221355_0001,B003C0327_20210922221356_0001,Cyclosalpa sewelli,Cluster,4,darkfield,16-18s,Yes,,,,,120,Speeds uploaded to Drive; zooid length & width,dye,
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\22Sept2021\Field\z_stereo\master,Yes,A001C0352_20210922221526_0001,B003C0328_20210922221527_0001,Pegea sp.,Transversal,4,darkfield,"22-27s, particle to bottom right of animal, white triangle string",Yes,15-17s,Maybe 0s,0:27,,120,Speeds uploaded to drive; zooid length & width,good dye,
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\22Sept2021\Field\z_stereo\master,Yes,A001C0353_20210922221657_0001,B003C0329_20210922221658_0001,Metcalfina hexagona,Linear,7,darkfield,"1-10s, 12-24s",Yes,2s,"0s, 16s",6s,,120,Speeds uploaded to Drive,dye,
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\22Sept2021\Field\z_stereo\master,Yes,A001C0354_20210922222311_0001,B003C0330_20210922222312_0001,Iasis cylindrica,Linear,19,darkfield,,Yes, 10s,2-3s,,,120,"Speeds uploaded to Drive; zooid length & width, Jet done","dye, linear axis; given to Anneliese, length morph taken with embryo chain included",
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\22Sept2021\Field\z_stereo\master,Yes,A001C0355_20210922222503_0001,B003C0331_20210922222504_0001,Iasis cylindrica,Linear,77,darkfield,12-18s,Yes,5s,,,,120,Speeds uploaded to Drive; zooid length & width,"good dye, ask kelly about rotation; given to Anneliese",
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\22Sept2021\Field\z_stereo\master,Yes,A001C0356_20210922222659_0001,B003C0332_20210922222700_0001,Cyclosalpa sewelli,Cluster,6,darkfield,No,Yes,,,,,,,dye,
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\22Sept2021\Field\z_stereo\master,Yes,A001C0357_20210922222753_0001,B003C0333_20210922222754_0001,Soestia zonaria?,Linear,7,darkfield,3-6s?,Yes,No,No,,,120,Speeds uploaded to Drive,dye,
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\22Sept2021\Field\z_stereo\master,Yes,A001C0358_20210922222944_0001,B003C0334_20210922222945_0001,Cyclosalpa sewelli,Cluster,10,darkfield,0-4s,No,NA,3s,No,,120,Speeds uploaded to Drive,Unable to measure zooid length & width,
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\22Sept2021\Field\z_stereo\master,Yes,A001C0361_20210922223430_0001,B003C0337_20210922223431_0001,Iasis cylindrica,Linear,36,darkfield,3-7s?,Yes,12s,,,,120,"Speeds uploaded to Drive; zooid length & width, Jet done","good dye, linear but longer; given to Anneliese",
E:\Kona_Apr2022\Apr 20\Kelly_Z stereo_6K 60fps\Master,Yes,A002C0001_20220420223107_0001,B004C0001_20220420223110_0001,Ritteriella amboinensis,Bipinnate,5,darkfield,No,Yes,No,No,No,,60,,dye,
E:\Kona_Apr2022\Apr 20\Kelly_Z stereo_6K 60fps\Master,Yes,A002C0004_20220420223601_0001,B004C0004_20220420223604_0001,Cyclosalpa bakeri,Whorl,4,darkfield,No,Yes,No,No,No,,60,,dye,
E:\Kona_Apr2022\Apr 20\Kelly_Z stereo_6K 60fps\Master,Yes,A002C0010_20220420224658_0001,B004C0010_20220420224701_0001,Brooksia rostrata,Bipinnate,27,darkfield,9-13s,Yes,,,9-13s,,60,DVZS frames; speeds uploaded to Drive; zooid lengths & widths,dye; trouble getting A file into eventmeasure,
E:\Kona_Apr2022\Apr 20\Kelly_Z stereo_6K 60fps\Master,Yes,A002C0018_20220420225725_0001,B004C0018_20220420225728_0001,Ritteriella amboinensis,Bipinnate,10,darkfield,6-10s,Yes,8-9s,17s,,,60,Speeds uploaded to Drive,dye,
E:\Kona_Apr2022\Apr 20\Kelly_Z stereo_6K 60fps\Master,Yes,A002C0019_20220420225823_0001_1,B004C0019_20220420225825_0001_1,Salpa maxima,Linear,2,darkfield,52-54s,Yes,27-29s,32s,52s,,60,Speeds uploaded to Drive,dye,
E:\Kona_Apr2022\Apr 20\Kelly_Z stereo_6K 60fps\Master,Yes,A002C0019_20220420225823_0001_2,B004C0019_20220420225825_0001_2,Salpa maxima,Linear,2,darkfield,57-60s,Yes,39s,22s,58s?,,60,Speeds uploaded to Drive,"dye, same specimen as  A002C0019_20220420225823_0001",
E:\Kona_Apr2022\Apr 20\Kelly_Z stereo_6K 60fps\Master,Yes,A002C0019_20220420225823_0001_3,B004C0019_20220420225825_0001_3,Salpa maxima,Linear,2,darkfield,No,Yes,,,,,60,,"dye, same specimen as  A002C0019_20220420225823_0001",
E:\Kona_Apr2022\Apr 20\Kelly_Z stereo_6K 60fps\Master,Yes,A002C0020_20220420230151_0001,B004C0020_20220420230154_0001,Iasis cylindrica,Linear,32,darkfield,19-23s,Yes,2s,10s,18s,,60,"Speeds uploaded to Drive, Jet done","dye, ask kelly about rotation; given to Anneliese",
E:\Kona_Apr2022\Apr 20\Kelly_Z stereo_6K 60fps\Master,Yes,A002C0021_20220420230233_0001,B004C0021_20220420230235_0001,Iasis cylindrica,Linear,32,darkfield,"No reference particles, good speed frames",Yes,,,,,60,,"dye present but not very helpful, same specimen as A002C0020_20220420230151_0001",
E:\Kona_Apr2022\Apr 21\Kelly_Z_stereo_night_6K 60fps,Yes,A002C0035_20220421223821_0001,B004C0035_20220421223824_0001,Metcalfina hexagona,Linear,22,darkfield,3-6s,Yes,20-22s,no,9s,,60,Speeds uploaded to Drive,dye - track amhipod in zooid,
E:\Kona_Apr2022\Apr 21\Kelly_Z_stereo_night_6K 60fps,Yes,A002C0042_20220421224445_0001,B004C0042_20220421224448_0001,Salpa aspera,Linear,7,darkfield,"43-45, 9-11",Yes,8s-12s,44s?,13s,,60,Speeds uploaded to Drive,dye  -avoid reverse swimming sequence 19s-38s,
E:\Kona_Apr2022\Apr 21\Kelly_Z_stereo_night_6K 60fps,Yes,A002C0043_20220421224537_0001,B004C0043_20220421224540_0001,Salpa aspera,Linear,7,darkfield,No reference particle,Yes,9s,0-1s,,,60,,"dye, same specimen as  A002C0042_20220421224445_0001",
E:\Kona_Apr2022\Apr 21\Kelly_Z_stereo_night_6K 60fps,Yes,A002C0044_20220421224612_0001_1,B004C0044_20220421224615_0001,Iasis cylindrica,Linear,120,darkfield,0-9s,No,NA,10s,hard,,60,Speeds uploaded to Drive; zooid length & width,"no dye, should be helical, long enough but gets caught in current, other species present in video (2 I think); given to Anneliese",
E:\Kona_Apr2022\Apr 21\Kelly_Z_stereo_night_6K 60fps,Yes,A002C0044_20220421224612_0001_2,B004C0044_20220421224615_0002,Iasis cylindrica,Linear,17,darkfield,0-10s,No,NA,,yes,,60,Speeds uploaded to Drive,"shorter chain starts video, longer helical at end but not clear and no dye; given to Anneliese",
E:\Kona_Apr2022\Apr 21\Kelly_Z_stereo_night_6K 60fps,Yes,A002C0045_20220421224748_0001,B004C0045_20220421224751_0001,Iasis cylindrica,Linear,88,darkfield,34s-36s,Yes,"28s, 36-40s",,4s,,60,"Speeds uploaded to Drive (fewer points); zooid length & width, Jet done",dye and HELICAL!!; given to Anneliese,
E:\Kona_Apr2022\Apr 21\Kelly_Z_stereo_night_6K 60fps,Yes,A002C0046_20220421224846_0001,B004C0046_20220421224849_0001,Iasis cylindrica,Linear,88,darkfield,No,Yes,No,No,No,,60,,"dye, same specimen as A002C0045_20220421224748_0001, maybe useful",
E:\Kona_Apr2022\Apr 21\Kelly_Z_stereo_night_6K 60fps,Yes,A002C0047_20220421225032_0001,B004C0047_20220421225035_0001,Cyclosalpa polae,Cluster,2,darkfield,12-21s,Yes,13s,No,20s,,60,"Speeds uploaded to Drive; zooid length & width, CSA Done moved to completed","dye, 2 zooid; given to Anneliese",
E:\Kona_Apr2022\Apr 21\Kelly_Z_stereo_night_6K 60fps,Yes,A002C0052_20220421225829_0001,B004C0052_20220421225832_0001,Salpa aspera,Linear,29,darkfield,No reference particle,No,NA,,,,60,,dye not in,
E:\Kona_Apr2022\Apr 21\Kelly_Z_stereo_night_6K 60fps,Yes,A002C0053_20220421225858_0001,B004C0053_20220421225901_0001,Salpa aspera,Linear,29,darkfield,9-14s,Yes,9s,,6s,,60,Speeds uploaded to Drive,"dye, same specimen as A002C0052_20220421225829_0001",
E:\Kona_Apr2022\Apr 21\Kelly_Z_stereo_night_6K 60fps,Yes,A002C0054_20220421225936_0001,B004C0054_20220421225939_0001,Salpa aspera,Linear,29,darkfield,No,Yes,,,,,60,,"dye, same specimen as A002C0052_20220421225829_0001, looks like bipinnate instead of linear",
E:\Kona_Apr2022\Apr 21\Kelly_Z_stereo_night_6K 60fps,Yes,A002C0055_20220421230043_0001,B004C0055_20220421230046_0001,Brooksia rostrata,Bipinnate,18,darkfield,"3-5s, 5-7s",Yes,4s,no,,,60,Jet Done; no good reference particle for speed,dye; given to Anneliese,
E:\Kona_Apr2022\Apr 21\Kelly_Z_stereo_night_6K 60fps,Yes,A002C0059_20220421230521_0001,B004C0059_20220421230524_0001,Salpa fusiformis,Linear,21,darkfield,,Yes,4-8s,,11s,,60,Speeds uploaded to Drive,dye,
E:\Kona_Apr2022\Apr 21\Kelly_Z_stereo_night_6K 60fps,Yes,A002C0061_20220421230910_0001,B004C0061_20220421230913_0001,Cyclosalpa affinis,Whorl,5,darkfield,No,Yes,9s-15s,No,26s,,60,Jet Done,dye; given to Anneliese,
E:\Kona_Apr2022\Apr 21\Kelly_Z_stereo_night_6K 60fps,Yes,A002C0062_20220421231037_0001,B004C0062_20220421231040_0001,Salpa aspera,Linear,2,darkfield,6-9s,Yes,No,0s,1s,,60,Speeds uploaded to Drive,dye,
E:\Kona_Apr2022\Apr 22\Kelly_Z Stereo_night_6K 60fps\Master,Yes,A002C0071_20220422223546_0001,B004C0071_20220422223548_0001,Metcalfina hexagona,Linear,9,darkfield,0-6s,No,NA,,3s,,60,Speeds uploaded to Drive,,
E:\Kona_Apr2022\Apr 22\Kelly_Z Stereo_night_6K 60fps\Master,Yes,A002C0072_20220422223646_0001,B004C0072_20220422223649_0001,Salpa fusiformis,Linear,17,darkfield,2-6s,Yes,27-29s,,,,60,Speeds uploaded to Drive,dye,
E:\Kona_Apr2022\Apr 22\Kelly_Z Stereo_night_6K 60fps\Master,Yes,A002C0073_20220422223852_0001,B004C0073_20220422223855_0001,Cyclosalpa bakeri,Whorl,13,darkfield,"0-11s, particle near vertical bar",Yes,No,No,No,,60,Speeds uploaded to Drive; zooid length & width,dye,
E:\Kona_Apr2022\Apr 22\Kelly_Z Stereo_night_6K 60fps\Master,Yes,A002C0075_20220422224136_0001_1,B004C0075_20220422224138_0001,Metcalfina hexagona,Linear,23,darkfield,11-23s,Yes,"53s,55s",5s?,28s,,60,Speeds uploaded to Drive,,
E:\Kona_Apr2022\Apr 22\Kelly_Z Stereo_night_6K 60fps\Master,Yes,A002C0075_20220422224136_0001_2,B004C0075_20220422224138_0002,Metcalfina hexagona,Linear,23,darkfield,,Yes,,,,,60,Speeds uploaded to Drive,"dye, same specimen as A002C0075_20220422224136_0001",
E:\Kona_Apr2022\Apr 22\Kelly_Z Stereo_night_6K 60fps\Master,Yes,A002C0076_20220422224245_0001,B004C0076_20220422224248_0001,Metcalfina hexagona,Linear,23,darkfield,,Yes,4-6s,,12s,,60,Speeds uploaded to Drive,"dye, same specimen as A002C0075_20220422224136_0001",
E:\Kona_Apr2022\Apr 22\Kelly_Z Stereo_night_6K 60fps\Master,Yes,A002C0078_20220422224659_0001,B004C0078_20220422224702_0001,Iasis cylindrica,Linear,60,darkfield,start,Yes,29s,,,,60,Speeds uploaded to Drive,"dye, yellowtail, helical!!",
E:\Kona_Apr2022\Apr 22\Kelly_Z Stereo_night_6K 60fps\Master,Yes,A002C0079_20220422224739_0001,B004C0079_20220422224741_0001,Iasis cylindrica,Linear,51,darkfield,,Yes,,Maybe 8s,,,60,,"dye, same specimen as A002C0078_20220422224659_0001",
E:\Kona_Apr2022\Apr 22\Kelly_Z Stereo_night_6K 60fps\Master,Yes,A002C0080_20220422224908_0001,B004C0080_20220422224910_0001,Salpa aspera,Linear,6,darkfield,1-7s,No,NA,No,7s,,60,Speeds uploaded to Drive,,
E:\Kona_Apr2022\Apr 22\Kelly_Z Stereo_night_6K 60fps\Master,Yes,A002C0081_20220422224921_0001,B004C0081_20220422224924_0001,Salpa aspera,Linear,6,darkfield,1-3s,Yes,1s,,,,60,Speeds uploaded to Drive,"dye, same specimen as A002C0080_20220422224908_0001",
E:\Kona_Apr2022\Apr 22\Kelly_Z Stereo_night_6K 60fps\Master,Yes,A002C0089_20220422230510_0001,B004C0089_20220422230512_0001,Iasis cylindrica,Linear,9,darkfield,"1-5s, particle bottom right",No,NA,No,No,,60,Speeds uploaded to Drive; zooid length & width,"no dye, linear",
E:\Kona_Apr2022\Apr 22\Kelly_Z Stereo_night_6K 60fps\Master,Yes,A002C0095_20220422231109_0001,B004C0095_20220422231111_0001,Salpa fusiformis,Linear,4,darkfield,"0-3s, particle to bottom left of animal",No,NA,No,Maybe 2s,,60,Speeds uploaded to Drive,,
D:/VideosKellyPanama2005_MP4/Brooksia_rostrata/Brooksia agg 16_45.mp4,No,Brooksia agg 16_45.mp4,NA,Brooksia rostrata,Bipinnate,,,No,Yes,None,No,Yes,None,,,,
D:/VideosKellyPanama2005_MP4/Brooksia_rostrata/Brooksia aggs 17_20.mp4,No,Brooksia aggs 17_20.mp4,NA,Brooksia rostrata,Bipinnate,,,No,No,None,No,No,Yes,,,,
D:/VideosKellyPanama2005_MP4/Brooksia_rostrata/Bros agg 5_50.mp4,No,Bros agg 5_50.mp4,NA,Brooksia rostrata,Bipinnate,,,Yes,Yes,Yes,No,No,Yes,,,,
D:/VideosKellyPanama2005_MP4/Brooksia_rostrata/Brost aggs 6_42.mp4,No,Brost aggs 6_42.mp4,NA,Ritteriella amboinensis,Bipinnate,45,,Yes,Yes,Yes,Yes,No,Yes,47,Speeds uploaded to Drive,,
D:/VideosKellyPanama2005_MP4/Brooksia_rostrata/Brost aggs 7_18.mp4,No,Brost aggs 7_18.mp4,NA,Brooksia rostrata,Bipinnate,,,short 2s,Yes,Yes,No,No,Yes,,,,
D:/VideosKellyPanama2005_MP4/Brooksia_rostrata/Brost aggs dye 10_08.mp4,No,Brost aggs dye 10_08.mp4,NA,Brooksia rostrata,Bipinnate,,,Yes,Yes,Yes,No,No,Yes,,,,
D:/VideosKellyPanama2005_MP4/Brooksia_rostrata/Brost aggs dye 6_29.mp4,No,Brost aggs dye 6_29.mp4,NA,Brooksia rostrata,Bipinnate,,,Yes,Yes,Yes,No,Yes,Yes,,,,
D:/VideosKellyPanama2005_MP4/Brooksia_rostrata/Brost aggs dye 8_54.mp4,No,Brost aggs dye 8_54.mp4,NA,Brooksia rostrata,Bipinnate,,,No,Yes,Yes,Yes,No,Yes,,,,
D:/VideosKellyPanama2005_MP4/Cyclosalpa_quadriluminis/C quadrilum 16_00.mp4,No,C quadrilum 16_00.mp4,NA,Cyclosalpa quadriluminis,Whorl,,,Maybe,Yes,Yes,No,Yes,Yes,,,,
D:/VideosKellyPanama2005_MP4/Cyclosalpa_quadriluminis/C quadrilum 16_10.mp4,No,C quadrilum 16_10.mp4,NA,Cyclosalpa quadriluminis,Whorl,,,Yes,Yes,Yes,No,Yes,Yes,,,,
D:/VideosKellyPanama2005_MP4/Cyclosalpa_quadriluminis/C qualrilum 16_15.mp4,No,C qualrilum 16_15.mp4,NA,Cyclosalpa quadriluminis,Whorl,,,Maybe,Yes,No,No,No,Yes,,,,
D:/VideosKellyPanama2005_MP4/Cyclosalpa_sewelli/C sew agg 48_50.mp4,No,C sew agg 48_50.mp4,NA,Cyclosalpa sewelli,Cluster,4,,Yes,No,No,Yes,Yes,Yes,,,,
D:/VideosKellyPanama2005_MP4/Cyclosalpa_sewelli/C sew agg 51_10.mp4,No,C sew agg 51_10.mp4,NA,Cyclosalpa sewelli,Cluster,6,,Yes,No,No,Yes,Yes,Yes,,,,
D:/VideosKellyPanama2005_MP4/Cyclosalpa_sewelli/C sew aggs 1_51.mp4,No,C sew aggs 1_51.mp4,NA,Cyclosalpa sewelli,Cluster,,,No,No,No,No,No,No,,,,
D:/VideosKellyPanama2005_MP4/Cyclosalpa_affinis/C. affinis 10_50.mp4,No,C. affinis 10_50.mp4,NA,Cyclosalpa affinis,Whorl,11,,Yes,No,No,No,Yes,Yes,,,In tank,
D:/VideosKellyPanama2005_MP4/Cyclosalpa_affinis/C. affinis 11_45.mp4,No,C. affinis 11_45.mp4,NA,Cyclosalpa affinis,Whorl,11,,Yes,No,No,Yes,Yes,No,44.39,,,
D:/VideosKellyPanama2005_MP4/Cyclosalpa_affinis/C. affinis 7_55.mp4.mp4,No,C. affinis 7_55.m2t.mp4,NA,Cyclosalpa affinis,Whorl,11,,Yes,No,No,Yes,Yes,No,53.8,,,
D:/VideosKellyPanama2005_MP4/Cyclosalpa_affinis/C. affinis 8_50.mp4,No,C. affinis 8_50.mp4,NA,Cyclosalpa affinis,Whorl,11,,Yes,No,No,Yes,Yes,No,28.2,,,
D:/VideosKellyPanama2005_MP4/Cyclosalpa_affinis/C. affinis scale 18_40.mp4,No,C. affinis scale 18_40.mp4,NA,Cyclosalpa affinis,Whorl,11,,,,,,,,,,,
D:/VideosKellyPanama2005_MP4/Cyclosalpa_affinis/C. affnis 11_07.mp4,No,C. affnis 11_07.mp4,NA,Cyclosalpa affinis,Whorl,11,,Yes,No,No,No,Yes,Yes,,,In tank,
D:/VideosKellyPanama2005_MP4/Cyclosalpa_bakeri/c. bakeri aggs dye 9_30.mp4,No,c. bakeri aggs dye 9_30.mp4,NA,Cyclosalpa bakeri,Whorl,,,Maybe,Yes,Yes,Yes,Yes,Yes,,,,
D:/VideosKellyPanama2005_MP4/Cyclosalpa_sewelli/C. sew 47_50 agg.mp4,No,C. sew 47_50 agg.mp4,NA,Cyclosalpa sewelli,Cluster,4,,Yes,No,No,Yes,Yes,Yes,,,,
D:/VideosKellyPanama2005_MP4/Cyclosalpa_sewelli/c. sew agg dye 7_18.mp4,No,c. sew agg dye 7_18.mp4,NA,Cyclosalpa sewelli,Cluster,10,,Yes,Yes,Yes,No,Yes,Yes,46,Speeds uploaded to drive,,
D:/VideosKellyPanama2005_MP4/Cyclosalpa_polae/c.polae agg.mp4,No,c.polae agg.mp4,NA,Cyclosalpa polae,Cluster,,,,,,,,,,,,
D:/VideosKellyPanama2005_MP4/Cyclosalpa_quadriluminis/C.quadrilum39_09.mp4,No,C.quadrilum39_09.mp4,NA,Cyclosalpa quadriluminis,Whorl,,,Yes,Yes,No,Yes,Yes,No,48,,In tank,
D:\Kona_Sept 2022\Sept 12\Jack Day Sony Bright 1080p 120 fps,No,C0005,NA,Cyclosalpa sewelli,Cluster,,,,No,NA,,,,120,,,
E:\Florida_WPB Dec 2021\12_13_2021\Field\Jack Sony 12-13-21,No,C0007,NA,salp,,,brightfield,where are these?,,,,,,,,has scale,
E:\Florida_WPB Dec 2021\12_13_2021\Field\Jack Sony 12-13-21,No,C0008,NA,salp,,,brightfield,where are these?,,,,,,,,has scale,
D:\Kona_Sept 2022\Sept 13\9-13-22 Jack Day Sony Bright 1080p 120 fps,No,C0016,NA,Cyclosalpa sewelli,Cluster,,,,No,NA,,,,120,,,
E:\Kona_Apr2022\Apr 19\Jack_Sony_daytime_4K_30fps,No,C0021,NA,Brooksia rostrata,Bipinnate,,brightfield,,No,NA,,,,30,,,
E:\WestPalmBeach_June_2021\8July2021\Field\Sony,No,C0033,NA,Brooksia rostrata,Bipinnate,,brightfield,,No,NA,,,,,,,
E:\WestPalmBeach_June_2021\8July2021\Field\Sony,No,C0034,NA,Iasis cylindrica,Linear,,brightfield,,No,NA,,,,,, aggregate - 7 zooids,
E:\WestPalmBeach_June_2021\8July2021\Field\Sony,No,C0037,NA,Iasis cylindrica,Linear,,brightfield,,No,NA,,,,,,"has finger scale, long chain",
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\17Sept2021\Field\Jack Sony,No,c0038,NA,Ritteriella amboinensis,Bipinnate,,brightfield,,No,NA,,,,,,hard to see,
E:\WestPalmBeach_June_2021\8July2021\Field\Sony,No,C0038,NA,Iasis cylindrica,Linear,,brightfield,,No,NA,,,,,,"has finger scale, long chain",
E:\Kona_Apr2022\Apr 25\Jack_sony_day and night_4K 30fps,No,C0038,NA,salp,,,darkfield,,,,,,,30,,NEED BRAD TO SEND US THESE,
E:\WestPalmBeach_June_2021\8July2021\Field\Sony,No,C0039,NA,Iasis cylindrica,Linear,,brightfield,,No,NA,,,,,,"has finger scale, long chain",
E:\WestPalmBeach_June_2021\8July2021\Field\Sony,No,C0045,NA,Iasis cylindrica,Linear,,brightfield,,No,NA,,,,,,"has finger scale, long chain , reverse swim",
D:\Kona_Sept 2022\Sept 15\Jack Day Sony Bright 1080p 120 fps,No,C0046,NA,Cyclosalpa sewelli,Cluster,2,young,,No,NA,,,,120,,one dead zooid,
D:\Kona_Sept 2022\Sept 12\Brad Day_sony darkfield_4K 30fps,No,C0047,NA,Cyclosalpa sewelli,Cluster,3,,,No,NA,,,,30,,,
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\17Sept2021\Field\Jack Sony,No,c0051,NA,Cyclosalpa affinis,Whorl,8,brightfield,,No,NA,yes,,,30,,Appears to be data taken on ship,
E:\Kona_Apr2022\Apr 20\Jack sony_day_4K 30fps,No,C0052,NA,Iasis cylindrica,Linear,,3D darkfield,,No,NA,,,,30,,,
E:\Florida_WPB Dec 2021\12_12_2021\Field\Brad Sony 12-12-21,No,C0052,NA,salp,,,brightfield,where are these?,,,,,,,,has scale,
D:\Kona_Sept 2022\Sept 12\Brad Day_sony darkfield_4K 30fps,No,C0052,NA,Cyclosalpa sewelli,Cluster,7,,,No,NA,,,,30,,,
D:\Kona_Sept 2022\Sept 12\Brad Day_sony darkfield_4K 30fps,No,C0054,NA,Cyclosalpa sewelli,Cluster,8,bad shot,,No,NA,,,,30,,,
D:\Kona_Sept 2022\Sept 12\Brad Day_sony darkfield_4K 30fps,No,C0055,NA,Iasis cylindrica,Linear,,"6 zooid, pregnant",,No,NA,,,,30,,yellowtail,
E:\WestPalmBeach_June_2021\8July2021\Field\Sony,No,C0056,NA,Iasis cylindrica,Linear,,brightfield,,No,NA,,,,,,"has finger scale, young chain",
E:\Kelly\WestPalmBeach2021\8July2021\Field\Sony\C0056.MP4,No,C0056,NA,Iasis cylindrica,Linear,,,,No,NA,,,,,,Iasis cylindrica agg - young,
E:\WestPalmBeach_June_2021\8July2021\Field\Sony,No,C0057,NA,Brooksia rostrata,Bipinnate,,brightfield,,No,NA,,,,,,has finger scale,
E:\Kelly\WestPalmBeach2021\8July2021\Field\Sony\C0057.MP4,No,C0057,NA,Brooksia rostrata,Bipinnate,,,,No,NA,,,,,,Brooksia rostrata aggregate,
D:\Kona_Sept 2022\Sept 12\Brad Day_sony darkfield_4K 30fps,No,C0066,NA,Cyclosalpa affinis,Whorl,4,,,No,NA,,,,30,,Appears to be data taken on ship,
D:\Kona_Sept 2022\Sept 12\Brad Day_sony darkfield_4K 30fps,No,C0070,NA,Cyclosalpa quadriluminis,Whorl,8,yellowtail,61-70s,No,NA,61s,72s,,30,,Speed taken,
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\17Sept2021\Field\Jack Sony,No,c0070_2,NA,Cyclosalpa sewelli,Cluster,,brightfield,yes,No,NA,,yes,,,,small embryos,
D:\Kona_Sept 2022\Sept 13\Brad Day_sony darkfield 4k_30fps,No,C0074,NA,Cyclosalpa sewelli,Cluster,3,,,No,NA,,,,30,,,
E:\Florida_WPB Dec 2021\12_13_2021\Field\Brad Sony,No,C0076,NA,salp,,,brightfield,where are these?,,,,,,,,has scale,
D:\Kona_Sept 2022\Sept 13\Brad Day_sony darkfield 4k_30fps,No,C0076,NA,Cyclosalpa sewelli,Cluster,5,,,No,NA,,,,30,,,
E:\WestPalmBeach_June_2021\9July2021\Field\Sony,No,C0078,NA,Brooksia rostrata,Bipinnate,,brightfield,,No,NA,,,,,,has finger scale,
E:\Kelly\WestPalmBeach2021\9July2021\Field\Sony\C0078.MP4,No,C0078,NA,Brooksia rostrata,Bipinnate,,,,No,NA,,,,,,,
E:\Florida_WPB Dec 2021\12_13_2021\Field\Brad Sony,No,C0078,NA,salp,,,brightfield,where are these?,,,,,,,,has scale,
E:\Florida_WPB Dec 2021\12_13_2021\Field\Brad Sony,No,C0080,NA,salp,,,brightfield,where are these?,,,,,,,,has scale,
E:\Florida_WPB Dec 2021\12_13_2021\Field\Brad Sony,No,C0081,NA,salp,,,brightfield,where are these?,,,,,,,,has scale,
E:\Florida_WPB Dec 2021\12_13_2021\Field\Brad Sony,No,C0083,NA,salp,,,brightfield,where are these?,,,,,,,,has scale,
E:Kona_Sept 2021_Kelly_Kevin_Alejandro\18Sept2021\Field\Jack Sony,No,c0088,NA,Pegea sp.,Transversal,13,brightfield,no,No,NA,No,,,,,,
E:\Florida_WPB Dec 2021\12_13_2021\Field\Brad Sony,No,C0091,NA,salp,,,brightfield,where are these?,,,,,,,,has scale,
D:\Kona_Sept 2022\Sept 15\Jack Night Sony Bright 1080p 120 fps,No,C0091,NA,Iasis cylindrica,Linear,,early video,,No,NA,,,,120,,long thin tail,
D:\Kona_Sept 2022\Sept 13\Brad Day_sony darkfield 4k_30fps,No,C0092,NA,Iasis cylindrica,Linear,,,,No,NA,,,,30,,,
E:\Florida_WPB Dec 2021\12_13_2021\Field\Brad Sony,No,C0093,NA,salp,,,brightfield,where are these?,,,,,,,,has scale,
D:\Kona_Sept 2022\Sept 13\Brad Day_sony darkfield 4k_30fps,No,C0093,NA,Iasis cylindrica,Linear,,,,No,NA,,,,30,,,
E:\Florida_WPB Dec 2021\12_13_2021\Field\Brad Sony,No,C0094,NA,salp,,,brightfield,where are these?,,,,,,,,has scale,
D:\Kona_Sept 2022\Sept 13\Brad Day_sony darkfield 4k_30fps,No,C0094,NA,Iasis cylindrica,Linear,,,,Yes,,,,,30,,,
E:\Florida_WPB Dec 2021\12_13_2021\Field\Brad Sony,No,C0096,NA,salp,,,brightfield,where are these?,,,,,,,,has scale,
