Filename,STEREO?,"Video name (or master, or left)",Secondary,Species,Architecture,Zooid number,optics,Speed range,Fluorescein?,Jet frames,Frontal CSA frame,DVZS frame,Scale Length mm,FPS,What was done,Comment,
E:\WestPalmBeach2021\9July2021\Field\Z_stereo\Master\A001C0143_20210709181838_0001.MOV,Yes,A001C0143_20210709181838_0001_2,B003C0139_20210709181838_0001,Iasis cylindrica,Linear,49,,No,No,No,Maybe 20-25s,Maybe 15-20s,,120,Speeds uploaded to Drive; zooid length & width,"yellowtail (?) no dye, helical",
E:\WestPalmBeach2021\9July2021\Field\Z_stereo\Master\A001C0147_20210709182345_0001.MOV,Yes,A001C0147_20210709182345_0001,B003C0143_20210709182345_0001,Iasis cylindrica,Linear,30,, 8-13s with yellow circle,No,No,No,"Maybe, not sure where",,120,Speeds uploaded to Drive,,
E:\WestPalmBeach2021\9July2021\Field\Z_stereo\Master\A001C0148_20210709182423_0001.MOV,Yes,A001C0148_20210709182423_0001,B003C0144_20210709182423_0001,Iasis cylindrica,Linear,10,,0-3s with yellow circle on right side,No,No,No,2s,,120,Speeds uploaded to Drive,"10 zooids; total chain length (mm)  57.4, helical, no dye",
E:\WestPalmBeach2021\9July2021\Field\Z_stereo\Master\A001C0151_20210709182557_0001.MOV,Yes,A001C0151_20210709182557_0001,B003C0147_20210709182557_0001,Iasis cylindrica,Linear,48,,No,No,No,No,3s,,120,,"Weelia agg, yellowtail, swimming in reverse (-ABP?)",
E:\WestPalmBeach2021\9July2021\Field\Z_stereo\Master\A001C0164_20210709183900_0001.MOV,Yes,A001C0164_20210709183900_0001_1,B003C0160_20210709183900_0001,Iasis cylindrica,Linear,44,,1-10s with white clump on right side,No,No,No,"13s, 20s",,120,Speeds uploaded to Drive,Weelia agg- nice sequence (3 separate chains),
E:\WestPalmBeach2021\9July2021\Field\Z_stereo\Master\A001C0164_20210709183900_0001.MOV,Yes,A001C0164_20210709183900_0001_2,B003C0160_20210709183900_0001,Iasis cylindrica,Linear,9,,No,No,No,No,26s,,120,,Weelia agg- nice sequence (3 separate chains),
E:\WestPalmBeach2021\9July2021\Field\Z_stereo\Master\A001C0164_20210709183900_0001.MOV,Yes,A001C0164_20210709183900_0001_3,B003C0160_20210709183900_0001,Iasis cylindrica,Linear,134,,36-48s with yellow circle in center of camera,No,No,No,No,,120,Speeds uploaded to Drive,Weelia agg- nice sequence (3 separate chains); Kai unable to take pulsation rate,
E:\WestPalmBeach2021\9July2021\Field\Z_stereo\Master\A001C0165_20210709184012_0001.MOV,Yes,A001C0165_20210709184012_0001_1,B003C0161_20210709184012_0001,Iasis cylindrica,Linear,24,,"1-5s, 25-30s with white particle near center",No,No,16s,18s,,120,Two speed ranges uploaded to Drive; both zooid lengths & widths taken,"Four individuals, one with a zooid chain? One yellowtail? > helical, no dye",
E:\WestPalmBeach2021\9July2021\Field\Z_stereo\Master\A001C0165_20210709184012_0001.MOV,Yes,A001C0165_20210709184012_0001_2,B003C0161_20210709184012_0001,Iasis cylindrica,Linear,89,,"1-5s, 25-30s with white particle near center",No,No,16s,18s,,120,Two speed ranges uploaded to Drive; both zooid lengths & widths taken,"Four individuals, one with a zooid chain? One yellowtail? > helical, no dye",
E:\WestPalmBeach2021\9July2021\Field\Z_stereo\Master\A001C0166_20210709184051_0001.MOV,Yes,A001C0166_20210709184051_0001_3,B003C0162_20210709184051_0001,Iasis cylindrica,Linear,35,,No,No,No,No,0-2s,,120,,Weelia chain (x3); nice sequence; chaetognath party,
