Measurement	Specimen	Species	Stage	Zooid length (mm)	Number of zooids	Colony volume (ml)	Container 	Treatment	Activity level	In-jar velocity (m/s)	Date	Experiment	Time point (min)	Sensor ID	O2 (mg/L)	Temperature (°C)	Organism notes	Measurement notes	Container volume (ml)
60	NA	NA	NA	NA	NA		Plastic	Intact	NA		9/19/2021	3	259	P2	6.44	NA	Control local seawater	No temperature measured.	
61	D7-BR-B-1	Brooksia rostrata	Blastozooid	7	28		Plastic	Intact	Very active		9/20/2021	4	0	P1	6.63	NA		No temperature measured. Temperature adjusting to hot air outside, O2 saturation changes	
62	D7-CA-B-1	Cyclosalpa affinis	Blastozooid	40	4		Plastic	Intact	Moderate		9/20/2021	4	0	P2	6.27	NA		No temperature measured. Temperature adjusting to hot air outside, O2 saturation changes	
63	D7-BR-B-2	Brooksia rostrata	Blastozooid	8	24		Plastic	Intact	Very active		9/20/2021	4	0	P4	6.63	NA		No temperature measured. Temperature adjusting to hot air outside, O2 saturation changes	
64	D7-BR-B-3	Brooksia rostrata	Blastozooid	8	19		Plastic	Intact	Very active		9/20/2021	4	0	P5	6.63	NA		No temperature measured. Temperature adjusting to hot air outside, O2 saturation changes	
65	NA	NA	NA	NA	NA		Plastic	Intact	NA		9/20/2021	4	0	P3 control	6.71	NA	Control local seawater	No temperature measured. Temperature adjusting to hot air outside, O2 saturation changes	
66	D7-BR-B-1	Brooksia rostrata	Blastozooid	7	28		Plastic	Intact	Very active		9/20/2021	4	15	P1	6.5	NA		No temperature measured. Temperature adjusting to hot air outside, O2 saturation changes	
67	D7-CA-B-1	Cyclosalpa affinis	Blastozooid	40	4		Plastic	Intact	Moderate		9/20/2021	4	15	P2	5.81	NA		No temperature measured. Temperature adjusting to hot air outside, O2 saturation changes	
68	D7-BR-B-2	Brooksia rostrata	Blastozooid	8	24		Plastic	Intact	Very active		9/20/2021	4	15	P4	6.49	NA		No temperature measured. Temperature adjusting to hot air outside, O2 saturation changes	
69	D7-BR-B-3	Brooksia rostrata	Blastozooid	8	19		Plastic	Intact	Very active		9/20/2021	4	15	P5	6.53	NA		No temperature measured. Temperature adjusting to hot air outside, O2 saturation changes	
70	NA	NA	NA	NA	NA		Plastic	Intact	NA		9/20/2021	4	15	P3 control	6.66	NA	Control local seawater	No temperature measured. Temperature adjusting to hot air outside, O2 saturation changes	
71	D7-BR-B-1	Brooksia rostrata	Blastozooid	7	28		Plastic	Intact	Very active		9/20/2021	4	30	P1	6.5	NA		No temperature measured.	
72	D7-CA-B-1	Cyclosalpa affinis	Blastozooid	40	4		Plastic	Intact	Moderate		9/20/2021	4	30	P2	5.58	NA		No temperature measured.	
73	D7-BR-B-2	Brooksia rostrata	Blastozooid	8	24		Plastic	Intact	Very active		9/20/2021	4	30	P4	6.48	NA		No temperature measured.	
