Measurement	Specimen	Species	Stage	Zooid length (mm)	Number of zooids	Colony volume (ml)	Container 	Treatment	Activity level	In-jar velocity (m/s)	Date	Experiment	Time point (min)	Sensor ID	O2 (mg/L)	Temperature (°C)	Organism notes	Measurement notes	Container volume (ml)	Injection time	Start time
404	D21-BR-OS-2	Brooksia rostrata	Oozoid+Stolon	30	37	1	Plastic	Intact	Active		4/22/2022	11	60	P5	6.48	24.2			208		
405	D21-Icyl-B-2A	Iasis (Weelia) cylindrica	Blastozooid	15	28	6	Plastic	Intact	Very active		4/22/2022	11	60	P6	6.44	24.2	Same specimen as D21-Icyl-B-2B, broken up from larger colony	In 980 ml jar	980		
406	D21-Icyl-B-2B	Iasis (Weelia) cylindrica	Blastozooid	15	15	3	Plastic	Intact	Very active		4/22/2022	11	60	P7	6.56	24.2	Same specimen as D21-Icyl-B-2A, broken up from larger colony	In 980 ml jar	980		
407	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/22/2022	11	60	P3 control	6.56	24.2	Control local seawater		72		
408	D21-BR-OS-1	Brooksia rostrata	Oozoid+Stolon	25	43	1	Plastic	Intact	Active		4/22/2022	11	90	P1	6.32	24.2	Oozoid (25mm) + stolon (42 x 1-3mm), stolon broke up halfway		208		
409	D21-BR-B-1	Brooksia rostrata	Blastozooid	4	14	0.2	Plastic	Intact	Moderate		4/22/2022	11	90	P2	6.5	24.2	Colony disintegrated into loose zooids after refresh during safety stop		208		
410	D21-Icyl-B-1	Iasis (Weelia) cylindrica	Blastozooid	7	21	1.3	Plastic	Intact	Moderate		4/22/2022	11	90	P4	6.28	24.2			208		
411	D21-BR-OS-2	Brooksia rostrata	Oozoid+Stolon	30	37	1	Plastic	Intact	Active		4/22/2022	11	90	P5	6.46	24.2			208		
412	D21-Icyl-B-2A	Iasis (Weelia) cylindrica	Blastozooid	15	28	6	Plastic	Intact	Very active		4/22/2022	11	90	P6	6.36	24.2	Same specimen as D21-Icyl-B-2B, broken up from larger colony	In 980 ml jar	980		
413	D21-Icyl-B-2B	Iasis (Weelia) cylindrica	Blastozooid	15	15	3	Plastic	Intact	Very active		4/22/2022	11	90	P7	6.5	24.2	Same specimen as D21-Icyl-B-2A, broken up from larger colony	In 980 ml jar	980		
414	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/22/2022	11	90	P3 control	6.54	24.2	Control local seawater		72		
415	D21-BR-OS-1	Brooksia rostrata	Oozoid+Stolon	25	43	1	Plastic	Intact	Active		4/22/2022	11	120	P1	6.32	24.1	Oozoid (25mm) + stolon (42 x 1-3mm), stolon broke up halfway		208		
416	D21-BR-B-1	Brooksia rostrata	Blastozooid	4	14	0.2	Plastic	Intact	Moderate		4/22/2022	11	120	P2	6.46	24.1	Colony disintegrated into loose zooids after refresh during safety stop		208		
417	D21-Icyl-B-1	Iasis (Weelia) cylindrica	Blastozooid	7	21	1.3	Plastic	Intact	Moderate		4/22/2022	11	120	P4	6.23	24.1			208		
418	D21-BR-OS-2	Brooksia rostrata	Oozoid+Stolon	30	37	1	Plastic	Intact	Active		4/22/2022	11	120	P5	6.41	24.1			208		
419	D21-Icyl-B-2A	Iasis (Weelia) cylindrica	Blastozooid	15	28	6	Plastic	Intact	Very active		4/22/2022	11	120	P6	6.25	24.1	Same specimen as D21-Icyl-B-2B, broken up from larger colony	In 980 ml jar	980		
420	D21-Icyl-B-2B	Iasis (Weelia) cylindrica	Blastozooid	15	15	3	Plastic	Intact	Very active		4/22/2022	11	120	P7	6.45	24.1	Same specimen as D21-Icyl-B-2A, broken up from larger colony	In 980 ml jar	980		
421	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/22/2022	11	120	P3 control	6.52	24.1	Control local seawater		72		
422	D21-BR-OS-1	Brooksia rostrata	Oozoid+Stolon	25	43	1	Plastic	Intact	Active		4/22/2022	11	150	P1	6.29	24.1	Oozoid (25mm) + stolon (42 x 1-3mm), stolon broke up halfway		208		
423	D21-BR-B-1	Brooksia rostrata	Blastozooid	4	14	0.2	Plastic	Intact	Moderate		4/22/2022	11	150	P2	6.45	24.1	Colony disintegrated into loose zooids after refresh during safety stop		208		
424	D21-Icyl-B-1	Iasis (Weelia) cylindrica	Blastozooid	7	21	1.3	Plastic	Intact	Moderate		4/22/2022	11	150	P4	6.19	24.1			208		
425	D21-BR-OS-2	Brooksia rostrata	Oozoid+Stolon	30	37	1	Plastic	Intact	Active		4/22/2022	11	150	P5	6.39	24.1			208		
426	D21-Icyl-B-2A	Iasis (Weelia) cylindrica	Blastozooid	15	28	6	Plastic	Intact	Very active		4/22/2022	11	150	P6	6.18	24.1	Same specimen as D21-Icyl-B-2B, broken up from larger colony	In 980 ml jar	980		
427	D21-Icyl-B-2B	Iasis (Weelia) cylindrica	Blastozooid	15	15	3	Plastic	Intact	Very active		4/22/2022	11	150	P7	6.43	24.1	Same specimen as D21-Icyl-B-2A, broken up from larger colony	In 980 ml jar	980		
428	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/22/2022	11	150	P3 control	6.52	24.1	Control local seawater		72		
429	D23-BR-OS-1	Brooksia rostrata	Oozoid+Stolon	30	1	0.5	Plastic	Intact	Active		4/24/2022	12	0	P1	6.39	25	Oozoid (30mm) + broken stolon (14 2mm zooids)		208	NA	18:15
430	D23-BR-OS-2	Brooksia rostrata	Oozoid+Stolon	25	1	0.3	Plastic	Intact	Active		4/24/2022	12	0	P2	6.39	25	Oozoid (25mm) + broken stolon (6 1mm zooids)		208	NA	18:15
431	D23-Cpol-B-1	Cyclosalpa sewelli	Blastozooid	35	1	2.4	Plastic	Intact	Moderate		4/24/2022	12	0	P4	6.37	25	Single blastozooid		208	NA	18:15
432	D23-Ramb-B-1	Ritteriella amboinensis	Blastozooid	40	23	40	Plastic	Intact	Moderate		4/24/2022	12	0	P5	6.31	25	Disagregated zooids, pregnant. 19 blastozooids and 4 newborn oozoids.		208	NA	18:15
433	D23-Pso-B-1	Pegea socia	Blastozooid	30	22	44	Plastic	Intact	Moderate		4/24/2022	12	0	P6	6.14	25		In 980 ml jar	980	NA	18:15
434	D23-Icyl-B-1	Iasis (Weelia) cylindrica	Blastozooid	15	44	14.1	Plastic	Intact	Active		4/24/2022	12	0	P7	6.4	25	Caught ~60ft deep, broke into subchains	In 980 ml jar	980	NA	18:15
435	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/24/2022	12	0	P3 control	6.48	25	Control local seawater		72	NA	18:15
436	D23-BR-OS-1	Brooksia rostrata	Oozoid+Stolon	30	1	0.5	Plastic	Intact	Active		4/24/2022	12	15	P1	6.35	24.7	Oozoid (30mm) + broken stolon (14 2mm zooids)		208		
437	D23-BR-OS-2	Brooksia rostrata	Oozoid+Stolon	25	1	0.3	Plastic	Intact	Active		4/24/2022	12	15	P2	6.41	24.7	Oozoid (25mm) + broken stolon (6 1mm zooids)		208		
438	D23-Cpol-B-1	Cyclosalpa sewelli	Blastozooid	35	1	2.4	Plastic	Intact	Moderate		4/24/2022	12	15	P4	6.36	24.7	Single blastozooid		208		
439	D23-Ramb-B-1	Ritteriella amboinensis	Blastozooid	40	23	40	Plastic	Intact	Moderate		4/24/2022	12	15	P5	6.16	24.7	Disagregated zooids, pregnant. 19 blastozooids and 4 newborn oozoids.		208		
440	D23-Pso-B-1	Pegea socia	Blastozooid	30	22	44	Plastic	Intact	Moderate		4/24/2022	12	15	P6	6.09	24.7		In 980 ml jar	980		
441	D23-Icyl-B-1	Iasis (Weelia) cylindrica	Blastozooid	15	44	14.1	Plastic	Intact	Active		4/24/2022	12	15	P7	6.39	24.7	Caught ~60ft deep, broke into subchains	In 980 ml jar	980		
442	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/24/2022	12	15	P3 control	6.51	24.7	Control local seawater		72		
443	D23-BR-OS-1	Brooksia rostrata	Oozoid+Stolon	30	1	0.5	Plastic	Intact	Active		4/24/2022	12	30	P1	6.4	24.5	Oozoid (30mm) + broken stolon (14 2mm zooids)		208		
444	D23-BR-OS-2	Brooksia rostrata	Oozoid+Stolon	25	1	0.3	Plastic	Intact	Active		4/24/2022	12	30	P2	6.44	24.5	Oozoid (25mm) + broken stolon (6 1mm zooids)		208		
445	D23-Cpol-B-1	Cyclosalpa sewelli	Blastozooid	35	1	2.4	Plastic	Intact	Moderate		4/24/2022	12	30	P4	6.36	24.5	Single blastozooid		208		
446	D23-Ramb-B-1	Ritteriella amboinensis	Blastozooid	40	23	40	Plastic	Intact	Moderate		4/24/2022	12	30	P5	6.05	24.5	Disagregated zooids, pregnant. 19 blastozooids and 4 newborn oozoids.		208		
447	D23-Pso-B-1	Pegea socia	Blastozooid	30	22	44	Plastic	Intact	Moderate		4/24/2022	12	30	P6	6	24.5		In 980 ml jar	980		
448	D23-Icyl-B-1	Iasis (Weelia) cylindrica	Blastozooid	15	44	14.1	Plastic	Intact	Active		4/24/2022	12	30	P7	6.36	24.5	Caught ~60ft deep, broke into subchains	In 980 ml jar	980		
449	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/24/2022	12	30	P3 control	6.55	24.5	Control local seawater		72		
450	D23-BR-OS-1	Brooksia rostrata	Oozoid+Stolon	30	1	0.5	Plastic	Intact	Active		4/24/2022	12	45	P1	6.43	24.4	Oozoid (30mm) + broken stolon (14 2mm zooids)		208		
451	D23-BR-OS-2	Brooksia rostrata	Oozoid+Stolon	25	1	0.3	Plastic	Intact	Active		4/24/2022	12	45	P2	6.44	24.4	Oozoid (25mm) + broken stolon (6 1mm zooids)		208		
452	D23-Cpol-B-1	Cyclosalpa sewelli	Blastozooid	35	1	2.4	Plastic	Intact	Moderate		4/24/2022	12	45	P4	6.35	24.4	Single blastozooid		208		
453	D23-Ramb-B-1	Ritteriella amboinensis	Blastozooid	40	23	40	Plastic	Intact	Moderate		4/24/2022	12	45	P5	5.99	24.4	Disagregated zooids, pregnant. 19 blastozooids and 4 newborn oozoids.		208		
454	D23-Pso-B-1	Pegea socia	Blastozooid	30	22	44	Plastic	Intact	Moderate		4/24/2022	12	45	P6	5.92	24.4		In 980 ml jar	980		
455	D23-Icyl-B-1	Iasis (Weelia) cylindrica	Blastozooid	15	44	14.1	Plastic	Intact	Active		4/24/2022	12	45	P7	6.32	24.4	Caught ~60ft deep, broke into subchains	In 980 ml jar	980		
456	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/24/2022	12	45	P3 control	6.58	24.4	Control local seawater		72		
457	D23-BR-OS-1	Brooksia rostrata	Oozoid+Stolon	30	1	0.5	Plastic	Intact	Active		4/24/2022	12	60	P1	6.46	24.2	Oozoid (30mm) + broken stolon (14 2mm zooids)		208		
458	D23-BR-OS-2	Brooksia rostrata	Oozoid+Stolon	25	1	0.3	Plastic	Intact	Active		4/24/2022	12	60	P2	6.49	24.2	Oozoid (25mm) + broken stolon (6 1mm zooids)		208		
459	D23-Cpol-B-1	Cyclosalpa sewelli	Blastozooid	35	1	2.4	Plastic	Intact	Moderate		4/24/2022	12	60	P4	6.37	24.2	Single blastozooid		208		
460	D23-Ramb-B-1	Ritteriella amboinensis	Blastozooid	40	23	40	Plastic	Intact	Moderate		4/24/2022	12	60	P5	5.86	24.2	Disagregated zooids, pregnant. 19 blastozooids and 4 newborn oozoids.		208		
461	D23-Pso-B-1	Pegea socia	Blastozooid	30	22	44	Plastic	Intact	Moderate		4/24/2022	12	60	P6	5.84	24.2		In 980 ml jar	980		
462	D23-Icyl-B-1	Iasis (Weelia) cylindrica	Blastozooid	15	44	14.1	Plastic	Intact	Active		4/24/2022	12	60	P7	6.3	24.2	Caught ~60ft deep, broke into subchains	In 980 ml jar	980		
463	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/24/2022	12	60	P3 control	6.6	24.2	Control local seawater		72		
464	D23-BR-OS-1	Brooksia rostrata	Oozoid+Stolon	30	1	0.5	Plastic	Intact	Active		4/24/2022	12	123	P1	6.44	23.9	Oozoid (30mm) + broken stolon (14 2mm zooids)		208		
465	D23-BR-OS-2	Brooksia rostrata	Oozoid+Stolon	25	1	0.3	Plastic	Intact	Active		4/24/2022	12	123	P2	6.42	23.9	Oozoid (25mm) + broken stolon (6 1mm zooids)		208		
466	D23-Cpol-B-1	Cyclosalpa sewelli	Blastozooid	35	1	2.4	Plastic	Intact	Moderate		4/24/2022	12	123	P4	6.22	23.9	Single blastozooid		208		
467	D23-Ramb-B-1	Ritteriella amboinensis	Blastozooid	40	23	40	Plastic	Intact	Moderate		4/24/2022	12	123	P5	5.32	23.9	Disagregated zooids, pregnant. 19 blastozooids and 4 newborn oozoids.		208		
468	D23-Pso-B-1	Pegea socia	Blastozooid	30	22	44	Plastic	Intact	Moderate		4/24/2022	12	123	P6	5.27	23.9		In 980 ml jar	980		
469	D23-Icyl-B-1	Iasis (Weelia) cylindrica	Blastozooid	15	44	14.1	Plastic	Intact	Active		4/24/2022	12	123	P7	6.01	23.9	Caught ~60ft deep, broke into subchains	In 980 ml jar	980		
470	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/24/2022	12	123	P3 control	6.61	23.9	Control local seawater		72		
471	D25-Cqua-B-1	Cyclosalpa quadriluminis	Blastozooid	25	4	4	Plastic	Intact	Moderate		4/25/2022	13	0	P1	6.21	25.4			208	NA	18:08
472	D25-BR-B-1	Brooksia rostrata	Blastozooid	4	60	1	Plastic	Intact	Moderate		4/25/2022	13	0	P2	6.39	25.4			208	NA	18:08
473	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/25/2022	13	0	P4	6.4	25.4	Control local seawater	Sealed early in dive	208	NA	18:08
474	D25-Pso-B-1	Pegea socia	Blastozooid	42	7	35	Plastic	Intact	Active		4/25/2022	13	0	P6	6.39	25.4		In 980 ml jar	980	NA	18:08
475	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/25/2022	13	0	P7	6.45	25.4	Control local seawater	Sealed early in dive, in 980 ml jar	980	NA	18:08
476	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/25/2022	13	0	P3 control	6.37	25.4	Control local seawater		72	NA	18:08
477	D25-Cqua-B-1	Cyclosalpa quadriluminis	Blastozooid	25	4	4	Plastic	Intact	Moderate		4/25/2022	13	15	P1	6.18	25.2			208		
478	D25-BR-B-1	Brooksia rostrata	Blastozooid	4	60	1	Plastic	Intact	Moderate		4/25/2022	13	15	P2	6.45	25.2			208		
479	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/25/2022	13	15	P4	6.47	25.2	Control local seawater	Sealed early in dive	208		
480	D25-Pso-B-1	Pegea socia	Blastozooid	42	7	35	Plastic	Intact	Active		4/25/2022	13	15	P6	6.37	25.2		In 980 ml jar	980		
481	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/25/2022	13	15	P7	6.53	25.2	Control local seawater	Sealed early in dive, in 980 ml jar	980		
482	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/25/2022	13	15	P3 control	6.46	25.2	Control local seawater		72		
483	D25-Cqua-B-1	Cyclosalpa quadriluminis	Blastozooid	25	4	4	Plastic	Intact	Moderate		4/25/2022	13	36	P1	6.15	24.9			208		
484	D25-BR-B-1	Brooksia rostrata	Blastozooid	4	60	1	Plastic	Intact	Moderate		4/25/2022	13	36	P2	6.46	24.9			208		
485	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/25/2022	13	36	P4	6.52	24.9	Control local seawater	Sealed early in dive	208		
486	D25-Pso-B-1	Pegea socia	Blastozooid	42	7	35	Plastic	Intact	Active		4/25/2022	13	36	P6	6.34	24.9		In 980 ml jar	980		
487	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/25/2022	13	36	P7	6.59	24.9	Control local seawater	Sealed early in dive, in 980 ml jar	980		
488	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/25/2022	13	36	P3 control	6.54	24.9	Control local seawater		72		
489	D25-Cqua-B-1	Cyclosalpa quadriluminis	Blastozooid	25	4	4	Plastic	Intact	Moderate		4/25/2022	13	51	P1	6.08	24.7			208		
490	D25-BR-B-1	Brooksia rostrata	Blastozooid	4	60	1	Plastic	Intact	Moderate		4/25/2022	13	51	P2	6.49	24.7			208		
491	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/25/2022	13	51	P4	6.55	24.7	Control local seawater	Sealed early in dive	208		
492	D25-Pso-B-1	Pegea socia	Blastozooid	42	7	35	Plastic	Intact	Active		4/25/2022	13	51	P6	6.29	24.7		In 980 ml jar	980		
493	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/25/2022	13	51	P7	6.62	24.7	Control local seawater	Sealed early in dive, in 980 ml jar	980		
494	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/25/2022	13	51	P3 control	6.55	24.7	Control local seawater		72		
495	D25-Cqua-B-1	Cyclosalpa quadriluminis	Blastozooid	25	4	4	Plastic	Intact	Moderate		4/25/2022	13	66	P1	6.03	24.6			208		
496	D25-BR-B-1	Brooksia rostrata	Blastozooid	4	60	1	Plastic	Intact	Moderate		4/25/2022	13	66	P2	6.49	24.6			208		
497	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/25/2022	13	66	P4	6.56	24.6	Control local seawater	Sealed early in dive	208		
498	D25-Pso-B-1	Pegea socia	Blastozooid	42	7	35	Plastic	Intact	Active		4/25/2022	13	66	P6	6.26	24.6		In 980 ml jar	980		
499	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/25/2022	13	66	P7	6.66	24.6	Control local seawater	Sealed early in dive, in 980 ml jar	980		
500	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/25/2022	13	66	P3 control	6.57	24.6	Control local seawater		72		
501	D25-Cqua-B-1	Cyclosalpa quadriluminis	Blastozooid	25	4	4	Plastic	Intact	Moderate		4/25/2022	13	126	P1	5.86	24.2			208		
502	D25-BR-B-1	Brooksia rostrata	Blastozooid	4	60	1	Plastic	Intact	Moderate		4/25/2022	13	126	P2	6.52	24.2			208		
503	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/25/2022	13	126	P4	6.57	24.2	Control local seawater	Sealed early in dive	208		
504	D25-Pso-B-1	Pegea socia	Blastozooid	42	7	35	Plastic	Intact	Active		4/25/2022	13	126	P6	6.05	24.2		In 980 ml jar	980		
505	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/25/2022	13	126	P7	6.69	24.2	Control local seawater	Sealed early in dive, in 980 ml jar	980		
506	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		4/25/2022	13	126	P3 control	6.55	24.2	Control local seawater		72		
507	D27-Ramb-B-2	Ritteriella amboinensis	Blastozooid	15	5	2.5	Plastic	Intact	Moderate		6/26/2022	14	0	P1	6.33	25.8	One zooid broke off		208	NA	23:23
508	D27-Pcon-B-1	Pegea confoederata	Blastozooid	28	2	3.5	Plastic	Anesthetized	Anesthetized		6/26/2022	14	0	P2	6.23	25.8	Anesthetized		208	23:21	23:23
509	D27-Ramb-B-1	Ritteriella amboinensis	Blastozooid	28	10	3.5	Plastic	Intact	Moderate		6/26/2022	14	0	P4	6.31	25.8	With Vibilia amphipod		208	NA	23:23
510	D27-Sfus-B-1	Salpa fusiformis	Blastozooid	15	5	1.6	Plastic	Intact	Moderate		6/26/2022	14	0	P5	6.31	25.8	Broke apart		208	NA	23:23
511	D27-Sasp-B-2	Salpa aspera	Blastozooid	39	13	15.5	Plastic	Intact	Active		6/26/2022	14	0	P6	5.93	25.8	A few broke off	Sealed early in dive, could not refresh before surfacing	980	NA	23:23
512	D27-Sasp-B-1	Salpa aspera	Blastozooid	45	3	8	Plastic	Intact	Active		6/26/2022	14	0	P7	6.27	25.8	2 actively-swimming crustaceans got bycaught		980	NA	23:23
513	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		6/26/2022	14	0	P3 control	6.35	25.8	Control local seawater	Bubble found	72	NA	23:23
514	D27-Ramb-B-2	Ritteriella amboinensis	Blastozooid	15	5	2.5	Plastic	Intact	Moderate		6/26/2022	14	15	P1	6.3	25.5	One zooid broke off		208		
515	D27-Pcon-B-1	Pegea confoederata	Blastozooid	28	2	3.5	Plastic	Anesthetized	Anesthetized		6/26/2022	14	15	P2	6.23	25.5	Anesthetized		208		
516	D27-Ramb-B-1	Ritteriella amboinensis	Blastozooid	28	10	3.5	Plastic	Intact	Moderate		6/26/2022	14	15	P4	6.3	25.5	With Vibilia amphipod		208		
517	D27-Sfus-B-1	Salpa fusiformis	Blastozooid	15	5	1.6	Plastic	Intact	Moderate		6/26/2022	14	15	P5	6.32	25.5	Broke apart		208		
518	D27-Sasp-B-2	Salpa aspera	Blastozooid	39	13	15.5	Plastic	Intact	Active		6/26/2022	14	15	P6	6.03	25.5	A few broke off	Sealed early in dive, could not refresh before surfacing	980		
519	D27-Sasp-B-1	Salpa aspera	Blastozooid	45	3	8	Plastic	Intact	Active		6/26/2022	14	15	P7	5.81	25.5	2 actively-swimming crustaceans got bycaught		980		
520	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		6/26/2022	14	15	P3 control	6.36	25.5	Control local seawater	Bubble found	72		
521	D27-Ramb-B-2	Ritteriella amboinensis	Blastozooid	15	5	2.5	Plastic	Intact	Moderate		6/26/2022	14	30	P1	6.32	25.3	One zooid broke off		208		
522	D27-Pcon-B-1	Pegea confoederata	Blastozooid	28	2	3.5	Plastic	Anesthetized	Anesthetized		6/26/2022	14	30	P2	6.26	25.3	Anesthetized		208		
523	D27-Ramb-B-1	Ritteriella amboinensis	Blastozooid	28	10	3.5	Plastic	Intact	Moderate		6/26/2022	14	30	P4	6.31	25.3	With Vibilia amphipod		208		
524	D27-Sfus-B-1	Salpa fusiformis	Blastozooid	15	5	1.6	Plastic	Intact	Moderate		6/26/2022	14	30	P5	6.32	25.3	Broke apart		208		
525	D27-Sasp-B-2	Salpa aspera	Blastozooid	39	13	15.5	Plastic	Intact	Active		6/26/2022	14	30	P6	5.72	25.3	A few broke off	Sealed early in dive, could not refresh before surfacing	980		
526	D27-Sasp-B-1	Salpa aspera	Blastozooid	45	3	8	Plastic	Intact	Active		6/26/2022	14	30	P7	6.24	25.3	2 actively-swimming crustaceans got bycaught		980		
527	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		6/26/2022	14	30	P3 control	6.36	25.3	Control local seawater	Bubble found	72		
528	D27-Ramb-B-2	Ritteriella amboinensis	Blastozooid	15	5	2.5	Plastic	Intact	Moderate		6/26/2022	14	45	P1	6.33	24.9	One zooid broke off		208		
529	D27-Pcon-B-1	Pegea confoederata	Blastozooid	28	2	3.5	Plastic	Anesthetized	Anesthetized		6/26/2022	14	45	P2	6.28	24.9	Anesthetized		208		
530	D27-Ramb-B-1	Ritteriella amboinensis	Blastozooid	28	10	3.5	Plastic	Intact	Moderate		6/26/2022	14	45	P4	6.34	24.9	With Vibilia amphipod		208		
531	D27-Sfus-B-1	Salpa fusiformis	Blastozooid	15	5	1.6	Plastic	Intact	Moderate		6/26/2022	14	45	P5	6.35	24.9	Broke apart		208		
532	D27-Sasp-B-2	Salpa aspera	Blastozooid	39	13	15.5	Plastic	Intact	Active		6/26/2022	14	45	P6	5.64	24.9	A few broke off	Sealed early in dive, could not refresh before surfacing	980		
533	D27-Sasp-B-1	Salpa aspera	Blastozooid	45	3	8	Plastic	Intact	Active		6/26/2022	14	45	P7	6.26	24.9	2 actively-swimming crustaceans got bycaught		980		
534	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		6/26/2022	14	45	P3 control	6.41	24.9	Control local seawater	Bubble found	72		
535	D27-Ramb-B-2	Ritteriella amboinensis	Blastozooid	15	5	2.5	Plastic	Intact	Moderate		6/26/2022	14	60	P1	6.3	24.7	One zooid broke off		208		
536	D27-Pcon-B-1	Pegea confoederata	Blastozooid	28	2	3.5	Plastic	Anesthetized	Anesthetized		6/26/2022	14	60	P2	6.22	24.7	Anesthetized		208		
537	D27-Ramb-B-1	Ritteriella amboinensis	Blastozooid	28	10	3.5	Plastic	Intact	Moderate		6/26/2022	14	60	P4	6.32	24.7	With Vibilia amphipod		208		
538	D27-Sfus-B-1	Salpa fusiformis	Blastozooid	15	5	1.6	Plastic	Intact	Moderate		6/26/2022	14	60	P5	6.32	24.7	Broke apart		208		
539	D27-Sasp-B-2	Salpa aspera	Blastozooid	39	13	15.5	Plastic	Intact	Active		6/26/2022	14	60	P6	5.53	24.7	A few broke off	Sealed early in dive, could not refresh before surfacing	980		
540	D27-Sasp-B-1	Salpa aspera	Blastozooid	45	3	8	Plastic	Intact	Active		6/26/2022	14	60	P7	6.22	24.7	2 actively-swimming crustaceans got bycaught		980		
541	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		6/26/2022	14	60	P3 control	6.4	24.7	Control local seawater	Bubble found	72		
542	D27-Ramb-B-2	Ritteriella amboinensis	Blastozooid	15	5	2.5	Plastic	Intact	Moderate		6/26/2022	14	90	P1	6.32	24.7	One zooid broke off		208		
543	D27-Pcon-B-1	Pegea confoederata	Blastozooid	28	2	3.5	Plastic	Anesthetized	Anesthetized		6/26/2022	14	90	P2	6.19	24.4	Anesthetized		208		
544	D27-Ramb-B-1	Ritteriella amboinensis	Blastozooid	28	10	3.5	Plastic	Intact	Moderate		6/26/2022	14	90	P4	6.26	24.4	With Vibilia amphipod		208		
545	D27-Sfus-B-1	Salpa fusiformis	Blastozooid	15	5	1.6	Plastic	Intact	Moderate		6/26/2022	14	90	P5	6.29	24.4	Broke apart		208		
546	D27-Sasp-B-2	Salpa aspera	Blastozooid	39	13	15.5	Plastic	Intact	Active		6/26/2022	14	90	P6	5.37	24.4	A few broke off	Sealed early in dive, could not refresh before surfacing	980		
547	D27-Sasp-B-1	Salpa aspera	Blastozooid	45	3	8	Plastic	Intact	Active		6/26/2022	14	90	P7	6.22	24.4	2 actively-swimming crustaceans got bycaught		980		
548	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		6/26/2022	14	90	P3 control	6.4	24.4	Control local seawater	Bubble found	72		
549	D27-Ramb-B-2	Ritteriella amboinensis	Blastozooid	15	5	2.5	Plastic	Intact	Moderate		6/26/2022	14	120	P1	6.3	23.8	One zooid broke off		208		
550	D27-Pcon-B-1	Pegea confoederata	Blastozooid	28	2	3.5	Plastic	Anesthetized	Anesthetized		6/26/2022	14	120	P2	6.22	23.8	Anesthetized		208		
551	D27-Ramb-B-1	Ritteriella amboinensis	Blastozooid	28	10	3.5	Plastic	Intact	Moderate		6/26/2022	14	120	P4	6.27	23.8	With Vibilia amphipod		208		
552	D27-Sfus-B-1	Salpa fusiformis	Blastozooid	15	5	1.6	Plastic	Intact	Moderate		6/26/2022	14	120	P5	6.29	23.8	Broke apart		208		
553	D27-Sasp-B-2	Salpa aspera	Blastozooid	39	13	15.5	Plastic	Intact	Active		6/26/2022	14	120	P6	5.22	23.8	A few broke off	Sealed early in dive, could not refresh before surfacing	980		
554	D27-Sasp-B-1	Salpa aspera	Blastozooid	45	3	8	Plastic	Intact	Active		6/26/2022	14	120	P7	6.21	23.8	2 actively-swimming crustaceans got bycaught		980		
555	NA	NA	NA	NA	NA	NA	Plastic	Intact	NA		6/26/2022	14	120	P3 control	6.41	23.8	Control local seawater	Bubble found	72		
556	D28-Csew-B-1	Cyclosalpa sewelli	Blastozooid	12	10	2.4	Plastic	Anesthetized	Anesthetized		6/27/2022	15	0	P1	6.3	25.3	A few broke off		208	23:34	23:40
557	D28-Csew-B-2	Cyclosalpa sewelli	Blastozooid	8	16	2.5	Plastic	Anesthetized	Anesthetized		6/27/2022	15	0	P2	6.31	25.3	A few broke off		208	23:35	23:40
558	NA	NA	NA	NA	NA	NA	Plastic	Intact	Anesthetized		6/27/2022	15	0	P3 control	6.36	25.3	Control local seawater	Bubble found	72	NA	23:40
