Measurement	Specimen	Species	Stage	Zooid length (mm)	Number of zooids	Container	Treatment	Activity level	In-jar velocity (m/s)	Date	Experiment	Time point (min)	Sensor ID	O2 (mg/L)	Temperature (°C)	Organism notes	Measurement notes
174	D11-BR-B-2	Brooksia rostrata	Blastozooid	7.5	32	Plastic	Intact	Moderate		09/22	6	30	P5	6.37	26.1	Gradation from 5-10mm length zooids	
175	NA	NA	NA	NA	NA	Plastic	Intact	NA		09/22	6	30	P3 control	6.47	26.1	Control local seawater	
176	D11-BR-B-1	Brooksia rostrata	Blastozooid	10	14	Plastic	Intact	Moderate		09/22	6	45	P1	6.41	25.9	Broken zooids on one side	
177	D11-CA-B-1	Cyclosalpa affinis	Blastozooid	45	6	Plastic	Intact	Active		09/22	6	45	P2	4.94	25.9	"Gunky surface, pooping a lot"	
178	D11-WC-B-1	Iasis (Weelia) cylindrica	Blastozooid	15	12	Plastic	Intact	Very active		09/22	6	45	P4	6.09	25.9	"Yellow cloudy hue, lost by the end of incubation"	
179	D11-BR-B-2	Brooksia rostrata	Blastozooid	7.5	32	Plastic	Intact	Moderate		09/22	6	45	P5	6.36	25.9	Gradation from 5-10mm length zooids	
180	NA	NA	NA	NA	NA	Plastic	Intact	NA		09/22	6	45	P3 control	6.48	25.9	Control local seawater	
181	D11-BR-B-1	Brooksia rostrata	Blastozooid	10	14	Plastic	Intact	Moderate		09/22	6	60	P1	6.42	25.8	Broken zooids on one side	
182	D11-CA-B-1	Cyclosalpa affinis	Blastozooid	45	6	Plastic	Intact	Active		09/22	6	60	P2	4.71	25.8	"Gunky surface, pooping a lot"	
183	D11-WC-B-1	Iasis (Weelia) cylindrica	Blastozooid	15	12	Plastic	Intact	Very active		09/22	6	60	P4	6.02	25.8	"Yellow cloudy hue, lost by the end of incubation"	
184	D11-BR-B-2	Brooksia rostrata	Blastozooid	7.5	32	Plastic	Intact	Moderate		09/22	6	60	P5	6.37	25.8	Gradation from 5-10mm length zooids	
185	NA	NA	NA	NA	NA	Plastic	Intact	NA		09/22	6	60	P3 control	6.54	25.8	Control local seawater	
186	D11-BR-B-1	Brooksia rostrata	Blastozooid	10	14	Plastic	Intact	Moderate		09/22	6	90	P1	6.42	25.4	Broken zooids on one side	
187	D11-CA-B-1	Cyclosalpa affinis	Blastozooid	45	6	Plastic	Intact	Active		09/22	6	90	P2	4.3	25.4	"Gunky surface, pooping a lot"	
188	D11-WC-B-1	Iasis (Weelia) cylindrica	Blastozooid	15	12	Plastic	Intact	Very active		09/22	6	90	P4	5.88	25.4	"Yellow cloudy hue, lost by the end of incubation"	
189	D11-BR-B-2	Brooksia rostrata	Blastozooid	7.5	32	Plastic	Intact	Moderate		09/22	6	90	P5	6.39	25.4	Gradation from 5-10mm length zooids	
190	NA	NA	NA	NA	NA	Plastic	Intact	NA		09/22	6	90	P3 control	6.56	25.3	Control local seawater	
191	D11-BR-B-1	Brooksia rostrata	Blastozooid	10	14	Plastic	Intact	Moderate		09/22	6	120	P1	6.36	25.3	Broken zooids on one side	
192	D11-CA-B-1	Cyclosalpa affinis	Blastozooid	45	6	Plastic	Intact	Active		09/22	6	120	P2	3.81	25.3	"Gunky surface, pooping a lot"	
193	D11-WC-B-1	Iasis (Weelia) cylindrica	Blastozooid	15	12	Plastic	Intact	Very active		09/22	6	120	P4	5.69	25.3	"Yellow cloudy hue, lost by the end of incubation"	
194	D11-BR-B-2	Brooksia rostrata	Blastozooid	7.5	32	Plastic	Intact	Moderate		09/22	6	120	P5	6.33	25.3	Gradation from 5-10mm length zooids	
195	NA	NA	NA	NA	NA	Plastic	Intact	NA		09/22	6	120	P3 control	6.56	25.3	Control local seawater	
196	D11-BR-B-1	Brooksia rostrata	Blastozooid	10	14	Plastic	Intact	Moderate		09/22	6	150	P1	6.38	25	Broken zooids on one side	
197	D11-CA-B-1	Cyclosalpa affinis	Blastozooid	45	6	Plastic	Intact	Active		09/22	6	150	P2	3.53	25	"Gunky surface, pooping a lot"	
198	D11-WC-B-1	Iasis (Weelia) cylindrica	Blastozooid	15	12	Plastic	Intact	Very active		09/22	6	150	P4	5.58	25	"Yellow cloudy hue, lost by the end of incubation"	
199	D11-BR-B-2	Brooksia rostrata	Blastozooid	7.5	32	Plastic	Intact	Moderate		09/22	6	150	P5	6.35	25	Gradation from 5-10mm length zooids	
200	NA	NA	NA	NA	NA	Plastic	Intact	NA		09/22	6	150	P3 control	6.6	25	Control local seawater	
201	D11-BR-B-1	Brooksia rostrata	Blastozooid	10	14	Plastic	Intact	Moderate		09/22	6	180	P1	6.46	24.7	Broken zooids on one side	
202	D11-CA-B-1	Cyclosalpa affinis	Blastozooid	45	6	Plastic	Intact	Active		09/22	6	180	P2	3.14	24.7	"Gunky surface, pooping a lot"	
203	D11-WC-B-1	Iasis (Weelia) cylindrica	Blastozooid	15	12	Plastic	Intact	Very active		09/22	6	180	P4	5.47	24.7	"Yellow cloudy hue, lost by the end of incubation"	
204	D11-BR-B-2	Brooksia rostrata	Blastozooid	7.5	32	Plastic	Intact	Moderate		09/22	6	180	P5	6.35	24.7	Gradation from 5-10mm length zooids	
205	NA	NA	NA	NA	NA	Plastic	Intact	NA		09/22	6	180	P3 control	6.69	24.7	Control local seawater	
206	D11-BR-B-1	Brooksia rostrata	Blastozooid	10	14	Plastic	Intact	Moderate		09/22	6	295	P1	5.95	27	Broken zooids on one side	Temperature measured in air
207	D11-CA-B-1	Cyclosalpa affinis	Blastozooid	45	6	Plastic	Intact	Active		09/22	6	295	P2	1.84	27	"Gunky surface, pooping a lot"	Temperature measured in air
208	D11-WC-B-1	Iasis (Weelia) cylindrica	Blastozooid	15	12	Plastic	Intact	Very active		09/22	6	295	P4	4.64	27	"Yellow cloudy hue, lost by the end of incubation"	Temperature measured in air
209	D11-BR-B-2	Brooksia rostrata	Blastozooid	7.5	32	Plastic	Intact	Moderate		09/22	6	295	P5	5.82	27	Gradation from 5-10mm length zooids	Temperature measured in air
210	NA	NA	NA	NA	NA	Plastic	Intact	NA		09/22	6	295	P3 control	6.22	27	Control local seawater	Temperature measured in air
211	D13-CA-B-1	Cyclosalpa affinis	Blastozooid	35	6	Plastic	Intact	Active		09/23	7	0	P1	6.25	27.2	"Found in D13, released-recaptured in D14."	Temperature measured in D13 jar water (same dive computer value 81F)
212	D14-WC-B-1A	Iasis (Weelia) cylindrica	Blastozooid	10	20	Plastic	Intact	Very active	0.0418	09/23	7	0	P2	6.3	27.2	Same golden-hazed chain broken in 2 pieces - lost 1 zooid by the end	Temperature measured in D13 jar water (same dive computer value 81F)
213	D14-WC-B-1B	Iasis (Weelia) cylindrica	Blastozooid	10	28	Plastic	Intact	Very active	0.0314	09/23	7	0	P4	6.16	27.2	Same golden-hazed chain broken in 2 pieces - lost 4 zooids by the end	Temperature measured in D13 jar water (same dive computer value 81F)
214	D14-WC-B-2	Iasis (Weelia) cylindrica	Blastozooid	10	34	Plastic	Intact	Very active	0.0314	09/23	7	0	P5	6.14	27.2	Includes one little hyperiid amphipod	Temperature measured in D13 jar water (same dive computer value 81F)
215	NA	NA	NA	NA	NA	Plastic	Intact	NA		09/23	7	0	P3 control	6.48	27.2	Control local seawater	Temperature measured in D13 jar water (same dive computer value 81F)
216	D13-CA-B-1	Cyclosalpa affinis	Blastozooid	35	6	Plastic	Intact	Active		09/23	7	15	P1	6.11	28.2	"Found in D13, released-recaptured in D14."	Temperature measured in D13 jar water (same dive computer value 81F)
217	D14-WC-B-1A	Iasis (Weelia) cylindrica	Blastozooid	10	20	Plastic	Intact	Very active	0.0418	09/23	7	15	P2	6.19	28.2	Same golden-hazed chain broken in 2 pieces - lost 1 zooid by the end	Temperature measured in D13 jar water (same dive computer value 81F)
218	D14-WC-B-1B	Iasis (Weelia) cylindrica	Blastozooid	10	28	Plastic	Intact	Very active	0.0314	09/23	7	15	P4	6.02	28.2	Same golden-hazed chain broken in 2 pieces - lost 4 zooids by the end	Temperature measured in D13 jar water (same dive computer value 81F)
219	D14-WC-B-2	Iasis (Weelia) cylindrica	Blastozooid	10	34	Plastic	Intact	Very active	0.0314	09/23	7	15	P5	5.9	28.2	Includes one little hyperiid amphipod	Temperature measured in D13 jar water (same dive computer value 81F)
220	NA	NA	NA	NA	NA	Plastic	Intact	NA		09/23	7	15	P3 control	6.53	28.2	Control local seawater	Temperature measured in D13 jar water (same dive computer value 81F)
221	D13-CA-B-1	Cyclosalpa affinis	Blastozooid	35	6	Plastic	Intact	Active		09/23	7	30	P1	5.95	29.2	"Found in D13, released-recaptured in D14."	Temperature measured in D13 jar water (same dive computer value 81F)
222	D14-WC-B-1A	Iasis (Weelia) cylindrica	Blastozooid	10	20	Plastic	Intact	Very active	0.0418	09/23	7	30	P2	6.11	29.2	Same golden-hazed chain broken in 2 pieces - lost 1 zooid by the end	Temperature measured in D13 jar water (same dive computer value 81F)
223	D14-WC-B-1B	Iasis (Weelia) cylindrica	Blastozooid	10	28	Plastic	Intact	Very active	0.0314	09/23	7	30	P4	5.94	29.2	Same golden-hazed chain broken in 2 pieces - lost 4 zooids by the end	Temperature measured in D13 jar water (same dive computer value 81F)
224	D14-WC-B-2	Iasis (Weelia) cylindrica	Blastozooid	10	34	Plastic	Intact	Very active	0.0314	09/23	7	30	P5	5.69	29.2	Includes one little hyperiid amphipod	Temperature measured in D13 jar water (same dive computer value 81F)
225	NA	NA	NA	NA	NA	Plastic	Intact	NA		09/23	7	30	P3 control	6.52	29.2	Control local seawater	Temperature measured in D13 jar water (same dive computer value 81F)
226	D13-CA-B-1	Cyclosalpa affinis	Blastozooid	35	6	Plastic	Intact	Active		09/23	7	45	P1	5.78	29.5	"Found in D13, released-recaptured in D14."	Temperature measured in D13 jar water (same dive computer value 81F)
227	D14-WC-B-1A	Iasis (Weelia) cylindrica	Blastozooid	10	20	Plastic	Intact	Very active	0.0418	09/23	7	45	P2	6.04	29.5	Same golden-hazed chain broken in 2 pieces - lost 1 zooid by the end	Temperature measured in D13 jar water (same dive computer value 81F)
228	D14-WC-B-1B	Iasis (Weelia) cylindrica	Blastozooid	10	28	Plastic	Intact	Very active	0.0314	09/23	7	45	P4	5.76	29.5	Same golden-hazed chain broken in 2 pieces - lost 4 zooids by the end	Temperature measured in D13 jar water (same dive computer value 81F)
229	D14-WC-B-2	Iasis (Weelia) cylindrica	Blastozooid	10	34	Plastic	Intact	Very active	0.0314	09/23	7	45	P5	5.58	29.5	Includes one little hyperiid amphipod	Temperature measured in D13 jar water (same dive computer value 81F)
230	NA	NA	NA	NA	NA	Plastic	Intact	NA		09/23	7	45	P3 control	6.64	29.5	Control local seawater	Temperature measured in D13 jar water (same dive computer value 81F)
231	D13-CA-B-1	Cyclosalpa affinis	Blastozooid	35	6	Plastic	Intact	Active		09/23	7	60	P1	5.53	30	"Found in D13, released-recaptured in D14."	Temperature measured in D13 jar water (same dive computer value 81F)
232	D14-WC-B-1A	Iasis (Weelia) cylindrica	Blastozooid	10	20	Plastic	Intact	Very active	0.0418	09/23	7	60	P2	5.8	30	Same golden-hazed chain broken in 2 pieces - lost 1 zooid by the end	Temperature measured in D13 jar water (same dive computer value 81F)
233	D14-WC-B-1B	Iasis (Weelia) cylindrica	Blastozooid	10	28	Plastic	Intact	Very active	0.0314	09/23	7	60	P4	5.46	30	Same golden-hazed chain broken in 2 pieces - lost 4 zooids by the end	Temperature measured in D13 jar water (same dive computer value 81F)
234	D14-WC-B-2	Iasis (Weelia) cylindrica	Blastozooid	10	34	Plastic	Intact	Very active	0.0314	09/23	7	60	P5	5.29	30	Includes one little hyperiid amphipod	Temperature measured in D13 jar water (same dive computer value 81F)
235	NA	NA	NA	NA	NA	Plastic	Intact	NA		09/23	7	60	P3 control	6.45	30	Control local seawater	Temperature measured in D13 jar water (same dive computer value 81F)
236	D13-CA-B-1	Cyclosalpa affinis	Blastozooid	35	6	Plastic	Intact	Active		09/23	7	90	P1	5.17	31.1	"Found in D13, released-recaptured in D14."	Temperature measured in D13 jar water (same dive computer value 81F)
237	D14-WC-B-1A	Iasis (Weelia) cylindrica	Blastozooid	10	20	Plastic	Intact	Very active	0.0418	09/23	7	90	P2	5.45	31.1	Same golden-hazed chain broken in 2 pieces - lost 1 zooid by the end	Temperature measured in D13 jar water (same dive computer value 81F)
238	D14-WC-B-1B	Iasis (Weelia) cylindrica	Blastozooid	10	28	Plastic	Intact	Very active	0.0314	09/23	7	90	P4	4.99	31.1	Same golden-hazed chain broken in 2 pieces - lost 4 zooids by the end	Temperature measured in D13 jar water (same dive computer value 81F)
239	D14-WC-B-2	Iasis (Weelia) cylindrica	Blastozooid	10	34	Plastic	Intact	Very active	0.0314	09/23	7	90	P5	4.81	31.1	Includes one little hyperiid amphipod	Temperature measured in D13 jar water (same dive computer value 81F)
240	NA	NA	NA	NA	NA	Plastic	Intact	NA		09/23	7	90	P3 control	6.25	31.1	Control local seawater	Temperature measured in D13 jar water (same dive computer value 81F)
241	D13-CA-B-1	Cyclosalpa affinis	Blastozooid	35	6	Plastic	Intact	Active		09/23	7	120	P1	5.06	30.3	"Found in D13, released-recaptured in D14."	Temperature measured in D13 jar water (same dive computer value 81F)
242	D14-WC-B-1A	Iasis (Weelia) cylindrica	Blastozooid	10	20	Plastic	Intact	Very active	0.0418	09/23	7	120	P2	5.36	30.3	Same golden-hazed chain broken in 2 pieces - lost 1 zooid by the end	Temperature measured in D13 jar water (same dive computer value 81F)
243	D14-WC-B-1B	Iasis (Weelia) cylindrica	Blastozooid	10	28	Plastic	Intact	Very active	0.0314	09/23	7	120	P4	4.74	30.3	Same golden-hazed chain broken in 2 pieces - lost 4 zooids by the end	Temperature measured in D13 jar water (same dive computer value 81F)
244	D14-WC-B-2	Iasis (Weelia) cylindrica	Blastozooid	10	34	Plastic	Intact	Very active	0.0314	09/23	7	120	P5	4.53	30.3	Includes one little hyperiid amphipod	Temperature measured in D13 jar water (same dive computer value 81F)
245	NA	NA	NA	NA	NA	Plastic	Intact	NA		09/23	7	120	P3 control	6.26	30.3	Control local seawater	Temperature measured in D13 jar water (same dive computer value 81F)
246	D13-CA-B-1	Cyclosalpa affinis	Blastozooid	35	6	Plastic	Intact	Active		09/23	7	150	P1	4.78	29.9	"Found in D13, released-recaptured in D14."	Temperature measured in D13 jar water (same dive computer value 81F)
247	D14-WC-B-1A	Iasis (Weelia) cylindrica	Blastozooid	10	20	Plastic	Intact	Very active	0.0418	09/23	7	150	P2	5.18	29.9	Same golden-hazed chain broken in 2 pieces - lost 1 zooid by the end	Temperature measured in D13 jar water (same dive computer value 81F)
248	D14-WC-B-1B	Iasis (Weelia) cylindrica	Blastozooid	10	28	Plastic	Intact	Very active	0.0314	09/23	7	150	P4	4.45	29.9	Same golden-hazed chain broken in 2 pieces - lost 4 zooids by the end	Temperature measured in D13 jar water (same dive computer value 81F)
249	D14-WC-B-2	Iasis (Weelia) cylindrica	Blastozooid	10	34	Plastic	Intact	Very active	0.0314	09/23	7	150	P5	4.25	29.9	Includes one little hyperiid amphipod	Temperature measured in D13 jar water (same dive computer value 81F)
250	NA	NA	NA	NA	NA	Plastic	Intact	NA		09/23	7	150	P3 control	6.25	29.9	Control local seawater	Temperature measured in D13 jar water (same dive computer value 81F)
251	D13-CA-B-1	Cyclosalpa affinis	Blastozooid	35	6	Plastic	Intact	Active		09/23	7	180	P1	4.62	29.5	"Found in D13, released-recaptured in D14."	Temperature measured in D13 jar water (same dive computer value 81F)
252	D14-WC-B-1A	Iasis (Weelia) cylindrica	Blastozooid	10	20	Plastic	Intact	Very active	0.0418	09/23	7	180	P2	5.04	29.5	Same golden-hazed chain broken in 2 pieces - lost 1 zooid by the end	Temperature measured in D13 jar water (same dive computer value 81F)
253	D14-WC-B-1B	Iasis (Weelia) cylindrica	Blastozooid	10	28	Plastic	Intact	Very active	0.0314	09/23	7	180	P4	4.21	29.5	Same golden-hazed chain broken in 2 pieces - lost 4 zooids by the end	Temperature measured in D13 jar water (same dive computer value 81F)
254	D14-WC-B-2	Iasis (Weelia) cylindrica	Blastozooid	10	34	Plastic	Intact	Very active	0.0314	09/23	7	180	P5	4	29.5	Includes one little hyperiid amphipod	Temperature measured in D13 jar water (same dive computer value 81F)
255	NA	NA	NA	NA	NA	Plastic	Intact	NA		09/23	7	180	P3 control	6.23	29.5	Control local seawater	Temperature measured in D13 jar water (same dive computer value 81F)
256	D13-CA-B-1	Cyclosalpa affinis	Blastozooid	35	6	Plastic	Intact	Active		09/23	7	246	P1	4.14	29.5	"Found in D13, released-recaptured in D14."	Temperature measured in D13 jar water (same dive computer value 81F)
257	D14-WC-B-1A	Iasis (Weelia) cylindrica	Blastozooid	10	20	Plastic	Intact	Very active	0.0418	09/23	7	246	P2	4.71	29.5	Same golden-hazed chain broken in 2 pieces - lost 1 zooid by the end	Temperature measured in D13 jar water (same dive computer value 81F)
258	D14-WC-B-1B	Iasis (Weelia) cylindrica	Blastozooid	10	28	Plastic	Intact	Very active	0.0314	09/23	7	246	P4	3.84	29.5	Same golden-hazed chain broken in 2 pieces - lost 4 zooids by the end	Temperature measured in D13 jar water (same dive computer value 81F)
259	D14-WC-B-2	Iasis (Weelia) cylindrica	Blastozooid	10	34	Plastic	Intact	Very active	0.0314	09/23	7	246	P5	3.43	29.5	Includes one little hyperiid amphipod	Temperature measured in D13 jar water (same dive computer value 81F)
260	NA	NA	NA	NA	NA	Plastic	Intact	NA		09/23	7	246	P3 control	6.11	29.5	Control local seawater	Temperature measured in D13 jar water (same dive computer value 81F)
