Filename	File.type	Source	Authorship	Species	Stage	Specimen_type	Specimen	Architecture	Orientation	Trait	State	Notes
Img0048	JPG	Kona April 2022	Alejandro Damian-Serrano	Salpa aspera	Aggs	FreshLabTecto	D20-Sasp-B-1	Linear	DVnormal	Zooid.width..mm.	15.17	
Img0048	JPG	Kona April 2022	Alejandro Damian-Serrano	Salpa aspera	Aggs	FreshLabTecto	D20-Sasp-B-1	Linear	DVnormal	Colony.length.mm.	85.14	segmented line for curve
Img0048	JPG	Kona April 2022	Alejandro Damian-Serrano	Salpa aspera	Aggs	FreshLabTecto	D20-Sasp-B-1	Linear	DVnormal	Zooid.length..mm.	47.28	
Img0048	JPG	Kona April 2022	Alejandro Damian-Serrano	Salpa aspera	Aggs	FreshLabTecto	D20-Sasp-B-1	Linear	DVnormal	Zooid.length..mm.	48.86	
Img0048	JPG	Kona April 2022	Alejandro Damian-Serrano	Salpa aspera	Aggs	FreshLabTecto	D20-Sasp-B-1	Linear	DVnormal	Zooid.length..mm.	45.82	
Img0132	JPG	Kona April 2022	Alejandro Damian-Serrano	Iasis cylindrica	Aggs	FreshLabTecto	D22-Icyl-B-2	Linear	DVnormal	Zooid.number	5	
Img0132	JPG	Kona April 2022	Alejandro Damian-Serrano	Iasis cylindrica	Aggs	FreshLabTecto	D22-Icyl-B-2	Linear	DVnormal	Colony.length.mm.	36.86	
Img0139	JPG	Kona April 2022	Alejandro Damian-Serrano	Iasis cylindrica	Aggs	FreshLabTecto	D22-Icyl-B-2	Linear	Stolonormal	Cross.sectional.area..mm2.	112.66	
Img0135	JPG	Kona April 2022	Alejandro Damian-Serrano	Iasis cylindrica	Aggs	FreshLabTecto	D22-Icyl-B-2	Linear	OAnormal	Colony.diameter..mm.	11.18	
Img0135	JPG	Kona April 2022	Alejandro Damian-Serrano	Iasis cylindrica	Aggs	FreshLabTecto	D22-Icyl-B-2	Linear	OAnormal	Colony.diameter..mm.	10.53	
Img0135	JPG	Kona April 2022	Alejandro Damian-Serrano	Iasis cylindrica	Aggs	FreshLabTecto	D22-Icyl-B-2	Linear	OAnormal	Colony.diameter..mm.	11.66	
Img0132	JPG	Kona April 2022	Alejandro Damian-Serrano	Iasis cylindrica	Aggs	FreshLabTecto	D22-Icyl-B-2	Linear	DVnormal	Zooid.width..mm.	7.48	
Img0132	JPG	Kona April 2022	Alejandro Damian-Serrano	Iasis cylindrica	Aggs	FreshLabTecto	D22-Icyl-B-2	Linear	DVnormal	Zooid.width..mm.	7.24	
Img0132	JPG	Kona April 2022	Alejandro Damian-Serrano	Iasis cylindrica	Aggs	FreshLabTecto	D22-Icyl-B-2	Linear	DVnormal	Zooid.width..mm.	7.4	
Img0132	JPG	Kona April 2022	Alejandro Damian-Serrano	Iasis cylindrica	Aggs	FreshLabTecto	D22-Icyl-B-2	Linear	DVnormal	Zooid.length..mm.	13.7	
Img0132	JPG	Kona April 2022	Alejandro Damian-Serrano	Iasis cylindrica	Aggs	FreshLabTecto	D22-Icyl-B-2	Linear	DVnormal	Zooid.length..mm.	14.05	
Img0132	JPG	Kona April 2022	Alejandro Damian-Serrano	Iasis cylindrica	Aggs	FreshLabTecto	D22-Icyl-B-2	Linear	DVnormal	Zooid.length..mm.	13.26	
Img0150	JPG	Kona April 2022	Alejandro Damian-Serrano	Ritteriella amboinensis	Aggs	FreshLabTecto	D22-Ramb-B-1	Bipinnate	OAnormal	Zooid.number	7	
Img0150	JPG	Kona April 2022	Alejandro Damian-Serrano	Ritteriella amboinensis	Aggs	FreshLabTecto	D22-Ramb-B-1	Bipinnate	OAnormal	Colony.length.mm.	82.62	
Img0146	JPG	Kona April 2022	Alejandro Damian-Serrano	Ritteriella amboinensis	Aggs	FreshLabTecto	D22-Ramb-B-1	Bipinnate	Stolonormal	Cross.sectional.area..mm2.	214.446	ignoring out-of-focus bent rear end of the colony, Img0149 used for scale, zooid width verified
