Filename	File.type	Source	Authorship	Species	Specimen_type	Specimen	Architecture	Trait	State	Notes
KonaJJ22-396	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Cyclosalpa quadriluminis	FreshSpecimen	D31-Cqua-B-1	Whorl	DV_Zooid.stolon.angle	89.66	
KonaJJ22-396	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Cyclosalpa quadriluminis	FreshSpecimen	D31-Cqua-B-1	Whorl	DV_Zooid.stolon.angle	83.53	
KonaJJ22-412	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Salpa maxima	FreshSpecimen	D31-Smax-B-1	Linear	DV_Zooid.stolon.angle	21.60	
KonaJJ22-412	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Salpa maxima	FreshSpecimen	D31-Smax-B-1	Linear	DV_Zooid.stolon.angle	19.09	
KonaJJ22-408	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Salpa maxima	FreshSpecimen	D31-Smax-B-1	Linear	DV_Zooid.stolon.angle	28.88	
KonaJJ22-481	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Pegea sp.	FreshSpecimen	D31-Psp-B-1	Transversal	DV_Zooid.stolon.angle	87.10	
KonaJJ22-481	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Pegea sp.	FreshSpecimen	D31-Psp-B-1	Transversal	DV_Zooid.stolon.angle	89.76	
KonaJJ22-481	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Pegea sp.	FreshSpecimen	D31-Psp-B-1	Transversal	DV_Zooid.stolon.angle	87.68	
KonaJJ22-494	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Ihlea punctata	FreshSpecimen	D32-Ipun-B-1	Linear	DV_Zooid.stolon.angle	23.11	
KonaJJ22-494	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Ihlea punctata	FreshSpecimen	D32-Ipun-B-1	Linear	DV_Zooid.stolon.angle	25.13	
KonaJJ22-494	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Ihlea punctata	FreshSpecimen	D32-Ipun-B-1	Linear	DV_Zooid.stolon.angle	28.85	
KonaJJ22-525	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Iasis cylindrica	FreshSpecimen	D32-Icyl-B-3	Linear	DV_Zooid.stolon.angle	24.01	young chain
KonaJJ22-525	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Iasis cylindrica	FreshSpecimen	D32-Icyl-B-3	Linear	DV_Zooid.stolon.angle	26.97	young chain
KonaJJ22-525	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Iasis cylindrica	FreshSpecimen	D32-Icyl-B-3	Linear	DV_Zooid.stolon.angle	29.15	young chain
KonaJJ22-551	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Ritteriella retracta	FreshSpecimen	D32-Rsp-B-1	Bipinnate	DV_Zooid.stolon.angle	13.22	"lateral view of zooid, used line between base and tip of the endostyle"
KonaJJ22-551	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Ritteriella retracta	FreshSpecimen	D32-Rsp-B-1	Bipinnate	DV_Zooid.stolon.angle	11.16	"lateral view of zooid, used line between base and tip of the endostyle"
KonaJJ22-551	JPG	Kona June-July 2022	Alejandro Damian-Serrano	Ritteriella retracta	FreshSpecimen	D32-Rsp-B-1	Bipinnate	DV_Zooid.stolon.angle	7.66	"lateral view of zooid, used line between base and tip of the endostyle"
KonaJJ22-625	JPG	Kona September 2022	Alejandro Damian-Serrano	Brooksia rostrata	FreshSpecimen	D33-Bros-B-1	Bipinnate	DV_Zooid.stolon.angle	51.78	"lateral view of zooid, used line between base and tip of the endostyle"
KonaJJ22-625	JPG	Kona September 2022	Alejandro Damian-Serrano	Brooksia rostrata	FreshSpecimen	D33-Bros-B-1	Bipinnate	DV_Zooid.stolon.angle	55.89	"lateral view of zooid, used line between base and tip of the endostyle"
KonaJJ22-625	JPG	Kona September 2022	Alejandro Damian-Serrano	Brooksia rostrata	FreshSpecimen	D33-Bros-B-1	Bipinnate	DV_Zooid.stolon.angle	52.18	"lateral view of zooid, used line between base and tip of the endostyle"
Kona09-22-700	JPG	Kona September 2022	Alejandro Damian-Serrano	Cyclosalpa quadriluminis	FreshSpecimen	D36-Cqua-B-1	Whorl	DV_Zooid.stolon.angle	84.70	used viscera for zooid axis
Kona09-22-700	JPG	Kona September 2022	Alejandro Damian-Serrano	Cyclosalpa quadriluminis	FreshSpecimen	D36-Cqua-B-1	Whorl	DV_Zooid.stolon.angle	89.97	used viscera for zooid axis
Kona09-22-700	JPG	Kona September 2022	Alejandro Damian-Serrano	Cyclosalpa quadriluminis	FreshSpecimen	D36-Cqua-B-1	Whorl	DV_Zooid.stolon.angle	87.58	used viscera for zooid axis
Kona09-22-717	JPG	Kona September 2022	Alejandro Damian-Serrano	Soestia zonaria	FreshSpecimen	D37-Szon-B-1	Linear	DV_Zooid.stolon.angle	3.14	
Kona09-22-717	JPG	Kona September 2022	Alejandro Damian-Serrano	Soestia zonaria	FreshSpecimen	D37-Szon-B-1	Linear	DV_Zooid.stolon.angle	0.29	
Kona09-22-717	JPG	Kona September 2022	Alejandro Damian-Serrano	Soestia zonaria	FreshSpecimen	D37-Szon-B-1	Linear	DV_Zooid.stolon.angle	0.18	
Kona09-22-787	JPG	Kona September 2022	Alejandro Damian-Serrano	Metcalfina hexagona	FreshSpecimen	D39-Mhex-B-1	Linear	DV_Zooid.stolon.angle	16.15	
Kona09-22-787	JPG	Kona September 2022	Alejandro Damian-Serrano	Metcalfina hexagona	FreshSpecimen	D39-Mhex-B-1	Linear	DV_Zooid.stolon.angle	15.60	
Kona09-22-787	JPG	Kona September 2022	Alejandro Damian-Serrano	Metcalfina hexagona	FreshSpecimen	D39-Mhex-B-1	Linear	DV_Zooid.stolon.angle	13.15	
Kona09-22-808	JPG	Kona September 2022	Alejandro Damian-Serrano	Cyclosalpa polae	FreshSpecimen	D40-Cpol-B-1	Cluster	DV_Zooid.stolon.angle	52.76	used viscera for zooid axis
Kona09-22-808	JPG	Kona September 2022	Alejandro Damian-Serrano	Cyclosalpa polae	FreshSpecimen	D40-Cpol-B-1	Cluster	DV_Zooid.stolon.angle	71.27	used viscera for zooid axis
Kona09-22-808	JPG	Kona September 2022	Alejandro Damian-Serrano	Cyclosalpa polae	FreshSpecimen	D40-Cpol-B-1	Cluster	DV_Zooid.stolon.angle	68.78	used viscera for zooid axis
Kona09-22-848	JPG	Kona September 2022	Alejandro Damian-Serrano	Brooksia rostrata	FreshSpecimen	D41-Bros-B-1	Bipinnate	DV_Zooid.stolon.angle	19.71	"lateral view of zooid, used line between base and tip of the endostyle"
Kona09-22-848	JPG	Kona September 2022	Alejandro Damian-Serrano	Brooksia rostrata	FreshSpecimen	D41-Bros-B-1	Bipinnate	DV_Zooid.stolon.angle	23.48	"lateral view of zooid, used line between base and tip of the endostyle"
Kona09-22-848	JPG	Kona September 2022	Alejandro Damian-Serrano	Brooksia rostrata	FreshSpecimen	D41-Bros-B-1	Bipinnate	DV_Zooid.stolon.angle	20.91	"lateral view of zooid, used line between base and tip of the endostyle"
Kona09-22-838	JPG	Kona September 2022	Alejandro Damian-Serrano	Iasis cylindrica	FreshSpecimen	D40-Icyl-B-1	Linear	DV_Zooid.stolon.angle	26.09	
Kona09-22-838	JPG	Kona September 2022	Alejandro Damian-Serrano	Iasis cylindrica	FreshSpecimen	D40-Icyl-B-1	Linear	DV_Zooid.stolon.angle	29.63	
Kona09-22-838	JPG	Kona September 2022	Alejandro Damian-Serrano	Iasis cylindrica	FreshSpecimen	D40-Icyl-B-1	Linear	DV_Zooid.stolon.angle	24.23	
Kona09-22-826	JPG	Kona September 2022	Alejandro Damian-Serrano	Salpa maxima	FreshSpecimen	D40-Smax-B-1	Linear	DV_Zooid.stolon.angle	22.50	
Kona09-22-826	JPG	Kona September 2022	Alejandro Damian-Serrano	Salpa maxima	FreshSpecimen	D40-Smax-B-1	Linear	DV_Zooid.stolon.angle	33.05	
Kona09-22-826	JPG	Kona September 2022	Alejandro Damian-Serrano	Salpa maxima	FreshSpecimen	D40-Smax-B-1	Linear	DV_Zooid.stolon.angle	24.91	
Kona09-22-914	JPG	Kona September 2022	Alejandro Damian-Serrano	Helicosalpa virgula	FreshSpecimen	D43-Hvir-B-1	Helical	DV_Zooid.stolon.angle	89.44	
Kona09-22-914	JPG	Kona September 2022	Alejandro Damian-Serrano	Helicosalpa virgula	FreshSpecimen	D43-Hvir-B-1	Helical	DV_Zooid.stolon.angle	89.79	
Kona09-22-914	JPG	Kona September 2022	Alejandro Damian-Serrano	Helicosalpa virgula	FreshSpecimen	D43-Hvir-B-1	Helical	DV_Zooid.stolon.angle	87.55	
Kona09-22-887	JPG	Kona September 2022	Alejandro Damian-Serrano	Thalia longicauda	FreshSpecimen	D42-Tlon-B-1	Oblique	DV_Zooid.stolon.angle	55.87	
Kona09-22-887	JPG	Kona September 2022	Alejandro Damian-Serrano	Thalia longicauda	FreshSpecimen	D42-Tlon-B-1	Oblique	DV_Zooid.stolon.angle	56.27	
Kona09-22-887	JPG	Kona September 2022	Alejandro Damian-Serrano	Thalia longicauda	FreshSpecimen	D42-Tlon-B-1	Oblique	DV_Zooid.stolon.angle	47.59	
KonaMay23_0049	JPG	Kona May 2023	Alejandro Damian-Serrano	Pegea sp.	FreshSpecimen	D46-Psp-B-1	Transversal	DV_Zooid.stolon.angle	88.07	young zooids
KonaMay23_0049	JPG	Kona May 2023	Alejandro Damian-Serrano	Pegea sp.	FreshSpecimen	D46-Psp-B-1	Transversal	DV_Zooid.stolon.angle	88.29	young zooids
KonaMay23_0049	JPG	Kona May 2023	Alejandro Damian-Serrano	Pegea sp.	FreshSpecimen	D46-Psp-B-1	Transversal	DV_Zooid.stolon.angle	85.85	young zooids
KonaMay23_0040	JPG	Kona May 2023	Alejandro Damian-Serrano	Soestia zonaria	FreshSpecimen	D47-Szon-B-1	Linear	DV_Zooid.stolon.angle	3.55	"dead post anesthetic, insides shrivelled"
KonaMay23_0040	JPG	Kona May 2023	Alejandro Damian-Serrano	Soestia zonaria	FreshSpecimen	D47-Szon-B-1	Linear	DV_Zooid.stolon.angle	1.06	"dead post anesthetic, insides shrivelled"
KonaMay23_0040	JPG	Kona May 2023	Alejandro Damian-Serrano	Soestia zonaria	FreshSpecimen	D47-Szon-B-1	Linear	DV_Zooid.stolon.angle	1.46	"dead post anesthetic, insides shrivelled"
