Specimen	Species	Experiment	Date	Activity.level	Zooid.length..mm.	Number.of.zooids	Colony.volume..ml.	Container.volume..ml.	Organism.notes	Paired	Timespan	Temperature_range	Treatment	Gross respiration rate (mgO2/min)	Control rate (mgO2/min)	Net respiration rate (mgO2/min)	Biovolume-corrected gross respiration rate (pgO2/min/ml)	Biovolume-corrected net respiration rate (pgO2/min/ml)
D14-WC-B-3	Iasis (Weelia) cylindrica	7	9/23/2021	Very active	10	34	10.5460563574992	208	Includes one little hyperiid amphipod	No	105	0.800000000000001	Intact	-0.00261349618320611	-0.000249160305343512	-0.0023643358778626	-247.817392076393	-224.191470035275
D14-WC-B-4	Iasis (Weelia) cylindrica	7	9/23/2021	Very active	10	34	10.5460563574992	208	Includes one little hyperiid amphipod	No	156	1.6	Intact	-0.00184187866927593	-6.17612524461841e-05	-0.00178011741682975	-174.650941246506	-168.794604967565
D15-BR-B-1	Brooksia rostrata	8	4/19/2022	Moderate	10	8	0.8	208	Pregnant	No	123	1.5	Intact	0.00023988616790235	0.000101990563918223	0.000137895603984128	299.857709877938	172.36950498016
D15-BR-B-2	Brooksia rostrata	8	4/19/2022	Moderate	3	14	3.7620840222881	208	Broken from a towed chain form an oozoid.	No	123	1.5	Intact	0.000400251628847452	0.000101990563918223	0.000298261064929229	106.390932918085	79.2808090309018
D15-CAff-B-1	Cyclosalpa affinis	8	4/19/2022	Active	50	6	42	208	Pregnant, occupies most of the jar space.	No	123	1.5	Intact	-0.00693637085299184	0.000101990563918223	-0.00703836141691006	-165.151686975996	-167.580033735954
D15-CPol-B-1	Cyclosalpa sewelli	8	4/19/2022	Moderate	15	7	4.4	208	Species unclear, 2 light organs, C-shaped dorsal organ	No	123	1.5	Intact	-4.29147008162909e-05	0.000101990563918223	-0.000144905264734513	-9.75334109461157	-32.9330147123894
D17-Caff-B-1	Cyclosalpa affinis	9	4/20/2022	Moderate	35	11	27.5	208	2 whorls	No	120	1.4	Intact	-0.00466775249500998	9.2263473053894e-05	-0.00476001596806388	-169.736454363999	-173.091489747777
D17-Caff-B-2	Cyclosalpa affinis	9	4/20/2022	Active	40	8	48	980		No	120	1.4	Intact	-0.0037948103792415	9.2263473053894e-05	-0.00388707385229539	-79.0585495675312	-80.980705256154
D19-Cbak-B-1	Cyclosalpa bakeri	10	4/21/2022	Moderate	12	6	3.6	208	Pregnant, deep collected	No	120	1.2	Intact	-3.42557084891363e-05	0.000261827246930284	-0.00029608295541942	-9.51547458031563	-82.2452653942835
D19-Pso-B-1	Pegea sp.	10	4/21/2022	Moderate	80	5	65	980	Deep collected	No	120	1.2	Intact	-0.013115917468905	0.000261827246930284	-0.0133777447158353	-201.783345675461	-205.811457166696
