"Filename","Frame","Time..mins.","X..mm.Zooid","Y..mm.Zooid","Z..mm.Zooid","NumberZooid","X..mm.Junk","Y..mm.Junk","Z..mm.Junk","Delta_time_s","Xd_mm","Yd_mm","Zd_mm","Delta_X_mm","Delta_Y_mm","Delta_Z_mm","Distance_mm","Speed_mm_s","Species","Architecture","Zooid.number","Comment","Speed_mms_abs","Speed_per_zooid","Colony_motion_length_mm","Colony_stolon_length_mm","Zooid_length_mm","Zooid_width_mm","Frontal_CSA_mm2","Jet_motion_angle","Dorso.Ventral_Zooid_Stolon_angle","colony_volume","speed_per_vol"
"A001C0172_20210709184345_0001",60,0.1367,11.276,-36.52,-490.514,"0",79.463,23.915,-413.971,0.1284,-68.187,-60.435,-76.543,112.578,-69.432,281.044,310.612843655893,241.910314373748,"Iasis cylindrica","Linear",10,"Weelia chain (x2); short chains, larger individuals",241.910314373748,24.1910314373748,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A001C0211_20210710142218_0001",60,0.0083,41.919,-5.975,-396.716,"0",36.286,7.981,-389.664,-0.1284,5.633,-13.956,-7.05200000000002,39.289,-36.347,100.518,113.879753485859,-88.6913967958403,"Cyclosalpa bakeri","Whorl",6,"",88.6913967958403,14.7818994659734,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A001C0358_20210922222944_0001",60,0.0083,30.076,-52.748,-691.924,"0",31.853,-37.194,-460.193,-0.8658,-1.777,-15.554,-231.731,78.676,-111.661,-103.561,171.414621949237,-19.7984086335456,"Cyclosalpa sewelli","Cluster",10,"Unable to measure zooid length & width",19.7984086335456,1.97984086335456,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A002C0044_20220421224612_0002",60,0.0167,11.561,5.41,-364.228,"0",54.948,16.103,-520.803,0.0084,-43.387,-10.693,156.575,-50.609,10.554,383.431,386.900490511449,4605.95822037439,"Iasis cylindrica","Linear",17,"shorter chain starts video, longer helical at end but not clear and no dye; given to Anneliese",4605.95822037439,270.938718845553,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A001C0164_20210709183900_0001",65,0.009,29.826,48.452,-425.158,"0",8.12,43.121,-541.523,-0.0077,21.706,5.331,116.365,-14.19,18.183,-66.462,70.3503733678791,-913.641212569859,"Iasis cylindrica","Linear",44,"Weelia agg- nice sequence (3 separate chains)",913.641212569859,20.7645730129513,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A001C0164_20210709183900_0001",65,0.009,29.826,48.452,-425.158,"0",8.12,43.121,-541.523,-0.0077,21.706,5.331,116.365,-14.19,18.183,-66.462,70.3503733678791,-913.641212569859,"Iasis cylindrica","Linear",9,"Weelia agg- nice sequence (3 separate chains)",913.641212569859,101.51569028554,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A001C0164_20210709183900_0001",65,0.009,29.826,48.452,-425.158,"0",8.12,43.121,-541.523,-0.0077,21.706,5.331,116.365,-14.19,18.183,-66.462,70.3503733678791,-913.641212569859,"Iasis cylindrica","Linear",134,"Weelia agg- nice sequence (3 separate chains)",913.641212569859,6.81821800425268,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A001C0122_20210709171630_0001",70,0.0097,-120.064,10.034,-1998.231,"0",-159.08,19.593,-913.388,0.000700000000000001,39.016,-9.559,-1084.843,69.488,-71.908,-1011.929,1016.85773028925,145265.390041321,"Iasis cylindrica","Linear",9,"weelia agg",145265.390041321,16140.5988934801,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A002C0044_20220421224612_0002",70,0.0195,5.204,6.909,-367.876,"0",52.578,22.549,-511.623,0.0098,-47.374,-15.64,143.747,-93.041,-50.433,206.877,232.375145613725,2371.17495524209,"Iasis cylindrica","Linear",17,"shorter chain starts video, longer helical at end but not clear and no dye; given to Anneliese",2371.17495524209,139.480879720123,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A002C0081_20220422224921_0001",73,0.0203,176.864,114.934,-620.708,"0",64.228,-32.416,-441.506,0.000799999999999999,112.636,147.35,-179.202,108.688,83.359,-243.217,279.134937465735,34891.867183217,"Salpa aspera","Linear",6,"dye, same specimen as A002C0080_20220422224908_0001",34891.867183217,5815.31119720283,NA,NA,NA,NA,NA,NA,NA,NA,NA
