Measurement	Container 	Treatment	Species	Specimen	Stage	Activity level	Zooid length (mm)	Number of zooids	Colony volume (ml)	Date	Experiment	Time point (min)	Sensor ID	Injection time	Start time	O2 (mg/L)	Temperature (°C)	Container volume (ml)	Organism notes	Measurement notes	In-jar velocity (m/s)	Relevant control
60	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	9/19/2021	3	259	P2	NA	NA	6.44	NA	208	Control local seawater	No temperature measured.	NA	NA
61	Plastic	Intact	Brooksia rostrata	D7-BR-B-1	Blastozooid	Very active	7	28	NA	9/20/2021	4	0	P1	NA	NA	6.63	NA	208		No temperature measured. Temperature adjusting to hot air outside, O2 saturation changes	NA	81
62	Plastic	Intact	Brooksia rostrata	D7-BR-B-1	Blastozooid	Very active	7	28	NA	9/20/2021	4	15	P1	NA	NA	6.5	NA	208		No temperature measured. Temperature adjusting to hot air outside, O2 saturation changes	NA	82
63	Plastic	Intact	Brooksia rostrata	D7-BR-B-1	Blastozooid	Very active	7	28	NA	9/20/2021	4	30	P1	NA	NA	6.5	NA	208		No temperature measured.	NA	83
64	Plastic	Intact	Brooksia rostrata	D7-BR-B-1	Blastozooid	Very active	7	28	NA	9/20/2021	4	45	P1	NA	NA	6.48	NA	208		No temperature measured.	NA	84
65	Plastic	Intact	Brooksia rostrata	D7-BR-B-1	Blastozooid	Very active	7	28	NA	9/20/2021	4	60	P1	NA	NA	6.45	NA	208		No temperature measured.	NA	85
66	Plastic	Intact	Brooksia rostrata	D7-BR-B-1	Blastozooid	Very active	7	28	NA	9/20/2021	4	90	P1	NA	NA	6.36	NA	208		No temperature measured.	NA	86
67	Plastic	Intact	Brooksia rostrata	D7-BR-B-1	Blastozooid	Very active	7	28	NA	9/20/2021	4	120	P1	NA	NA	6.3	NA	208		No temperature measured.	NA	87
68	Plastic	Intact	Brooksia rostrata	D7-BR-B-1	Blastozooid	Very active	7	28	NA	9/20/2021	4	150	P1	NA	NA	6.28	NA	208		No temperature measured.	NA	88
69	Plastic	Intact	Brooksia rostrata	D7-BR-B-1	Blastozooid	Very active	7	28	NA	9/20/2021	4	180	P1	NA	NA	6.27	NA	208		No temperature measured.	NA	89
70	Plastic	Intact	Brooksia rostrata	D7-BR-B-1	Blastozooid	Very active	7	28	NA	9/20/2021	4	300	P1	NA	NA	5.99	NA	208		No temperature measured.	NA	90
71	Plastic	Intact	Cyclosalpa affinis	D7-CA-B-1	Blastozooid	Moderate	40	4	NA	9/20/2021	4	0	P2	NA	NA	6.27	NA	208		No temperature measured. Temperature adjusting to hot air outside, O2 saturation changes	NA	81
72	Plastic	Intact	Cyclosalpa affinis	D7-CA-B-1	Blastozooid	Moderate	40	4	NA	9/20/2021	4	15	P2	NA	NA	5.81	NA	208		No temperature measured. Temperature adjusting to hot air outside, O2 saturation changes	NA	82
73	Plastic	Intact	Cyclosalpa affinis	D7-CA-B-1	Blastozooid	Moderate	40	4	NA	9/20/2021	4	30	P2	NA	NA	5.58	NA	208		No temperature measured.	NA	83
74	Plastic	Intact	Cyclosalpa affinis	D7-CA-B-1	Blastozooid	Moderate	40	4	NA	9/20/2021	4	45	P2	NA	NA	5.36	NA	208		No temperature measured.	NA	84
75	Plastic	Intact	Cyclosalpa affinis	D7-CA-B-1	Blastozooid	Moderate	40	4	NA	9/20/2021	4	60	P2	NA	NA	5.12	NA	208		No temperature measured.	NA	85
76	Plastic	Intact	Cyclosalpa affinis	D7-CA-B-1	Blastozooid	Moderate	40	4	NA	9/20/2021	4	90	P2	NA	NA	4.66	NA	208		No temperature measured.	NA	86
77	Plastic	Intact	Cyclosalpa affinis	D7-CA-B-1	Blastozooid	Moderate	40	4	NA	9/20/2021	4	120	P2	NA	NA	4.31	NA	208		No temperature measured.	NA	87
