Measurement	Container 	Treatment	Species	Specimen	Stage	Activity level	Zooid length (mm)	Number of zooids	Colony volume (ml)	Date	Experiment	Time point (min)	Sensor ID	Injection time	Start time	O2 (mg/L)	Temperature (°C)	Container volume (ml)	Organism notes	Measurement notes	In-jar velocity (m/s)	Relevant control
259	Plastic	Intact	Iasis (Weelia) cylindrica	D14-WC-B-4	Blastozooid	Very active	10	34	NA	9/23/2021	7	180	P5	NA	NA	4	29.5	208	Includes one little hyperiid amphipod	Temperature measured in D13 jar water (same dive computer value 81F)	0.0314	239
260	Plastic	Intact	Iasis (Weelia) cylindrica	D14-WC-B-4	Blastozooid	Very active	10	34	NA	9/23/2021	7	246	P5	NA	NA	3.43	29.5	208	Includes one little hyperiid amphipod	Temperature measured in D13 jar water (same dive computer value 81F)	0.0314	240
261	Plastic	Intact	Brooksia rostrata	D15-BR-B-1	Blastozooid	Moderate	10	8	0.8	4/19/2022	8	0	P1	NA	17:44	6.41	25	208	Pregnant	Temperature measured in surface water	NA	275
262	Plastic	Intact	Brooksia rostrata	D15-BR-B-1	Blastozooid	Moderate	10	8	0.8	4/19/2022	8	15	P1	NA	17:44	6.52	24.7	208	Pregnant	Temperature measured in surface water	NA	276
263	Plastic	Intact	Brooksia rostrata	D15-BR-B-1	Blastozooid	Moderate	10	8	0.8	4/19/2022	8	30	P1	NA	17:44	6.55	24.3	208	Pregnant	Temperature measured in surface water	NA	277
264	Plastic	Intact	Brooksia rostrata	D15-BR-B-1	Blastozooid	Moderate	10	8	0.8	4/19/2022	8	45	P1	NA	17:44	6.57	24.3	208	Pregnant	Temperature measured in surface water	NA	278
265	Plastic	Intact	Brooksia rostrata	D15-BR-B-1	Blastozooid	Moderate	10	8	0.8	4/19/2022	8	63	P1	NA	17:44	6.6	24	208	Pregnant	Temperature measured in surface water	NA	279
266	Plastic	Intact	Brooksia rostrata	D15-BR-B-1	Blastozooid	Moderate	10	8	0.8	4/19/2022	8	93	P1	NA	17:44	6.64	23.5	208	Pregnant	Temperature measured in surface water	NA	280
267	Plastic	Intact	Brooksia rostrata	D15-BR-B-1	Blastozooid	Moderate	10	8	0.8	4/19/2022	8	123	P1	NA	17:44	6.56	23.6	208	Pregnant	Temperature measured in surface water	NA	281
268	Plastic	Intact	Cyclosalpa sewelli	D15-CPol-B-1	Blastozooid	Moderate	15	7	4.4	4/19/2022	8	0	P2	NA	17:44	6.39	25	208	Species unclear, 2 light organs, C-shaped dorsal organ	Temperature measured in surface water	NA	275
269	Plastic	Intact	Cyclosalpa sewelli	D15-CPol-B-1	Blastozooid	Moderate	15	7	4.4	4/19/2022	8	15	P2	NA	17:44	6.49	24.7	208	Species unclear, 2 light organs, C-shaped dorsal organ	Temperature measured in surface water	NA	276
270	Plastic	Intact	Cyclosalpa sewelli	D15-CPol-B-1	Blastozooid	Moderate	15	7	4.4	4/19/2022	8	30	P2	NA	17:44	6.52	24.3	208	Species unclear, 2 light organs, C-shaped dorsal organ	Temperature measured in surface water	NA	277
271	Plastic	Intact	Cyclosalpa sewelli	D15-CPol-B-1	Blastozooid	Moderate	15	7	4.4	4/19/2022	8	45	P2	NA	17:44	6.52	24.3	208	Species unclear, 2 light organs, C-shaped dorsal organ	Temperature measured in surface water	NA	278
272	Plastic	Intact	Cyclosalpa sewelli	D15-CPol-B-1	Blastozooid	Moderate	15	7	4.4	4/19/2022	8	63	P2	NA	17:44	6.52	24	208	Species unclear, 2 light organs, C-shaped dorsal organ	Temperature measured in surface water	NA	279
273	Plastic	Intact	Cyclosalpa sewelli	D15-CPol-B-1	Blastozooid	Moderate	15	7	4.4	4/19/2022	8	93	P2	NA	17:44	6.49	23.5	208	Species unclear, 2 light organs, C-shaped dorsal organ	Temperature measured in surface water	NA	280
274	Plastic	Intact	Cyclosalpa sewelli	D15-CPol-B-1	Blastozooid	Moderate	15	7	4.4	4/19/2022	8	123	P2	NA	17:44	6.39	23.6	208	Species unclear, 2 light organs, C-shaped dorsal organ	Temperature measured in surface water	NA	281
275	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	4/19/2022	8	0	P3 control	NA	17:44	6.55	25	72	Control local seawater	Temperature measured in surface water	NA	NA
276	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	4/19/2022	8	15	P3 control	NA	17:44	6.69	24.7	72	Control local seawater	Temperature measured in surface water	NA	NA
277	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	4/19/2022	8	30	P3 control	NA	17:44	6.78	24.3	72	Control local seawater	Temperature measured in surface water	NA	NA
278	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	4/19/2022	8	45	P3 control	NA	17:44	6.77	24.3	72	Control local seawater	Temperature measured in surface water	NA	NA
279	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	4/19/2022	8	63	P3 control	NA	17:44	6.82	24	72	Control local seawater	Temperature measured in surface water	NA	NA
280	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	4/19/2022	8	93	P3 control	NA	17:44	6.82	23.5	72	Control local seawater	Temperature measured in surface water	NA	NA
281	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	4/19/2022	8	123	P3 control	NA	17:44	6.76	23.6	72	Control local seawater	Temperature measured in surface water	NA	NA
282	Plastic	Intact	Cyclosalpa affinis	D15-CAff-B-1	Blastozooid	Active	50	6	42	4/19/2022	8	0	P4	NA	17:44	5.47	25	208	Pregnant, occupies most of the jar space.	Temperature measured in surface water	NA	275
283	Plastic	Intact	Cyclosalpa affinis	D15-CAff-B-1	Blastozooid	Active	50	6	42	4/19/2022	8	15	P4	NA	17:44	4.95	24.7	208	Pregnant, occupies most of the jar space.	Temperature measured in surface water	NA	276
284	Plastic	Intact	Cyclosalpa affinis	D15-CAff-B-1	Blastozooid	Active	50	6	42	4/19/2022	8	30	P4	NA	17:44	4.3	24.3	208	Pregnant, occupies most of the jar space.	Temperature measured in surface water	NA	277
285	Plastic	Intact	Cyclosalpa affinis	D15-CAff-B-1	Blastozooid	Active	50	6	42	4/19/2022	8	45	P4	NA	17:44	3.64	24.3	208	Pregnant, occupies most of the jar space.	Temperature measured in surface water	NA	278
286	Plastic	Intact	Cyclosalpa affinis	D15-CAff-B-1	Blastozooid	Active	50	6	42	4/19/2022	8	63	P4	NA	17:44	3.07	24	208	Pregnant, occupies most of the jar space.	Temperature measured in surface water	NA	279
287	Plastic	Intact	Cyclosalpa affinis	D15-CAff-B-1	Blastozooid	Active	50	6	42	4/19/2022	8	93	P4	NA	17:44	2.16	23.5	208	Pregnant, occupies most of the jar space.	Temperature measured in surface water	NA	280
288	Plastic	Intact	Cyclosalpa affinis	D15-CAff-B-1	Blastozooid	Active	50	6	42	4/19/2022	8	123	P4	NA	17:44	1.43	23.6	208	Pregnant, occupies most of the jar space.	Temperature measured in surface water	NA	281
289	Plastic	Intact	Brooksia rostrata	D15-BR-B-2	Blastozooid	Moderate	3	14	NA	4/19/2022	8	0	P5	NA	17:44	6.53	25	208	Broken from a towed chain form an oozoid.	Temperature measured in surface water	NA	275
290	Plastic	Intact	Brooksia rostrata	D15-BR-B-2	Blastozooid	Moderate	3	14	NA	4/19/2022	8	15	P5	NA	17:44	6.64	24.7	208	Broken from a towed chain form an oozoid.	Temperature measured in surface water	NA	276
291	Plastic	Intact	Brooksia rostrata	D15-BR-B-2	Blastozooid	Moderate	3	14	NA	4/19/2022	8	30	P5	NA	17:44	6.72	24.3	208	Broken from a towed chain form an oozoid.	Temperature measured in surface water	NA	277
292	Plastic	Intact	Brooksia rostrata	D15-BR-B-2	Blastozooid	Moderate	3	14	NA	4/19/2022	8	45	P5	NA	17:44	6.73	24.3	208	Broken from a towed chain form an oozoid.	Temperature measured in surface water	NA	278
293	Plastic	Intact	Brooksia rostrata	D15-BR-B-2	Blastozooid	Moderate	3	14	NA	4/19/2022	8	63	P5	NA	17:44	6.79	24	208	Broken from a towed chain form an oozoid.	Temperature measured in surface water	NA	279
294	Plastic	Intact	Brooksia rostrata	D15-BR-B-2	Blastozooid	Moderate	3	14	NA	4/19/2022	8	93	P5	NA	17:44	6.84	23.5	208	Broken from a towed chain form an oozoid.	Temperature measured in surface water	NA	280
295	Plastic	Intact	Brooksia rostrata	D15-BR-B-2	Blastozooid	Moderate	3	14	NA	4/19/2022	8	123	P5	NA	17:44	6.77	23.6	208	Broken from a towed chain form an oozoid.	Temperature measured in surface water	NA	281
296	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	4/20/2022	9	0	P3 control	NA	17:53	6.44	25.1	72	Control local seawater		NA	NA
297	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	4/20/2022	9	15	P3 control	NA	17:53	6.54	24.9	72	Control local seawater		NA	NA
298	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	4/20/2022	9	30	P3 control	NA	17:53	6.57	24.8	72	Control local seawater		NA	NA
299	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	4/20/2022	9	45	P3 control	NA	17:53	6.64	24.4	72	Control local seawater		NA	NA
300	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	4/20/2022	9	60	P3 control	NA	17:53	6.64	24.2	72	Control local seawater		NA	NA
301	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	4/20/2022	9	90	P3 control	NA	17:53	6.65	23.8	72	Control local seawater		NA	NA
302	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	4/20/2022	9	120	P3 control	NA	17:53	6.61	23.7	72	Control local seawater		NA	NA
303	Plastic	Intact	Cyclosalpa affinis	D17-Caff-B-1	Blastozooid	Moderate	35	11	27.5	4/20/2022	9	0	P4	NA	17:53	5.99	25.1	208	2 whorls		NA	296
304	Plastic	Intact	Cyclosalpa affinis	D17-Caff-B-1	Blastozooid	Moderate	35	11	27.5	4/20/2022	9	15	P4	NA	17:53	5.61	24.9	208	2 whorls		NA	297
305	Plastic	Intact	Cyclosalpa affinis	D17-Caff-B-1	Blastozooid	Moderate	35	11	27.5	4/20/2022	9	30	P4	NA	17:53	5.27	24.8	208	2 whorls		NA	298
306	Plastic	Intact	Cyclosalpa affinis	D17-Caff-B-1	Blastozooid	Moderate	35	11	27.5	4/20/2022	9	45	P4	NA	17:53	4.94	24.4	208	2 whorls		NA	299
307	Plastic	Intact	Cyclosalpa affinis	D17-Caff-B-1	Blastozooid	Moderate	35	11	27.5	4/20/2022	9	60	P4	NA	17:53	4.58	24.2	208	2 whorls		NA	300
308	Plastic	Intact	Cyclosalpa affinis	D17-Caff-B-1	Blastozooid	Moderate	35	11	27.5	4/20/2022	9	90	P4	NA	17:53	3.87	23.8	208	2 whorls		NA	301
309	Plastic	Intact	Cyclosalpa affinis	D17-Caff-B-1	Blastozooid	Moderate	35	11	27.5	4/20/2022	9	120	P4	NA	17:53	3.32	23.7	208	2 whorls		NA	302
310	Plastic	Intact	Brooksia rostrata	D17-BR-OS-1	Oozoid+Stolon	Active	25	61	0.5	4/20/2022	9	0	P5	NA	17:53	6.37	25.1	208	Oozoid (25mm) with developing stolon of 60bz (0.5-3mm long)		NA	296
311	Plastic	Intact	Brooksia rostrata	D17-BR-OS-1	Oozoid+Stolon	Active	25	61	0.5	4/20/2022	9	15	P5	NA	17:53	6.47	24.9	208	Oozoid (25mm) with developing stolon of 60bz (0.5-3mm long)		NA	297
312	Plastic	Intact	Brooksia rostrata	D17-BR-OS-1	Oozoid+Stolon	Active	25	61	0.5	4/20/2022	9	30	P5	NA	17:53	6.5	24.8	208	Oozoid (25mm) with developing stolon of 60bz (0.5-3mm long)		NA	298
313	Plastic	Intact	Brooksia rostrata	D17-BR-OS-1	Oozoid+Stolon	Active	25	61	0.5	4/20/2022	9	45	P5	NA	17:53	6.54	24.4	208	Oozoid (25mm) with developing stolon of 60bz (0.5-3mm long)		NA	299
314	Plastic	Intact	Brooksia rostrata	D17-BR-OS-1	Oozoid+Stolon	Active	25	61	0.5	4/20/2022	9	60	P5	NA	17:53	6.53	24.2	208	Oozoid (25mm) with developing stolon of 60bz (0.5-3mm long)		NA	300
315	Plastic	Intact	Brooksia rostrata	D17-BR-OS-1	Oozoid+Stolon	Active	25	61	0.5	4/20/2022	9	90	P5	NA	17:53	6.56	23.8	208	Oozoid (25mm) with developing stolon of 60bz (0.5-3mm long)		NA	301
316	Plastic	Intact	Brooksia rostrata	D17-BR-OS-1	Oozoid+Stolon	Active	25	61	0.5	4/20/2022	9	120	P5	NA	17:53	6.53	23.7	208	Oozoid (25mm) with developing stolon of 60bz (0.5-3mm long)		NA	302
317	Plastic	Intact	Cyclosalpa affinis	D17-Caff-B-2	Blastozooid	Active	40	8	48	4/20/2022	9	0	P7	NA	17:53	6.33	25.1	980			NA	296
318	Plastic	Intact	Cyclosalpa affinis	D17-Caff-B-2	Blastozooid	Active	40	8	48	4/20/2022	9	15	P7	NA	17:53	6.29	24.9	980			NA	297
319	Plastic	Intact	Cyclosalpa affinis	D17-Caff-B-2	Blastozooid	Active	40	8	48	4/20/2022	9	30	P7	NA	17:53	6.2	24.8	980			NA	298
320	Plastic	Intact	Cyclosalpa affinis	D17-Caff-B-2	Blastozooid	Active	40	8	48	4/20/2022	9	45	P7	NA	17:53	6.17	24.4	980			NA	299
321	Plastic	Intact	Cyclosalpa affinis	D17-Caff-B-2	Blastozooid	Active	40	8	48	4/20/2022	9	60	P7	NA	17:53	6.11	24.2	980			NA	300
322	Plastic	Intact	Cyclosalpa affinis	D17-Caff-B-2	Blastozooid	Active	40	8	48	4/20/2022	9	90	P7	NA	17:53	6	23.8	980			NA	301
323	Plastic	Intact	Cyclosalpa affinis	D17-Caff-B-2	Blastozooid	Active	40	8	48	4/20/2022	9	120	P7	NA	17:53	5.86	23.7	980			NA	302
324	Plastic	Intact	Pegea sp.	D19-Pso-B-3	Blastozooid	Moderate	65	1	18	4/21/2022	10	0	P1	NA	17:40	6.05	25	208	Single blastozooid		NA	331
325	Plastic	Intact	Pegea sp.	D19-Pso-B-3	Blastozooid	Moderate	65	1	18	4/21/2022	10	15	P1	NA	17:40	6.02	24.7	208	Single blastozooid		NA	332
326	Plastic	Intact	Pegea sp.	D19-Pso-B-3	Blastozooid	Moderate	65	1	18	4/21/2022	10	30	P1	NA	17:40	5.95	24.4	208	Single blastozooid		NA	333
327	Plastic	Intact	Pegea sp.	D19-Pso-B-3	Blastozooid	Moderate	65	1	18	4/21/2022	10	45	P1	NA	17:40	5.82	24.1	208	Single blastozooid		NA	334
328	Plastic	Intact	Pegea sp.	D19-Pso-B-3	Blastozooid	Moderate	65	1	18	4/21/2022	10	62	P1	NA	17:40	5.7	23.8	208	Single blastozooid		NA	335
329	Plastic	Intact	Pegea sp.	D19-Pso-B-3	Blastozooid	Moderate	65	1	18	4/21/2022	10	90	P1	NA	17:40	5.47	23.8	208	Single blastozooid		NA	336
330	Plastic	Intact	Pegea sp.	D19-Pso-B-3	Blastozooid	Moderate	65	1	18	4/21/2022	10	120	P1	NA	17:40	5.08	23.8	208	Single blastozooid		NA	337
331	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	4/21/2022	10	0	P2	NA	17:40	6.41	25	208	Control local seawater		NA	NA
332	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	4/21/2022	10	15	P2	NA	17:40	6.49	24.7	208	Control local seawater		NA	NA
333	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	4/21/2022	10	30	P2	NA	17:40	6.57	24.4	208	Control local seawater		NA	NA
334	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	4/21/2022	10	45	P2	NA	17:40	6.6	24.1	208	Control local seawater		NA	NA
335	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	4/21/2022	10	62	P2	NA	17:40	6.65	23.8	208	Control local seawater		NA	NA
336	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	4/21/2022	10	90	P2	NA	17:40	6.74	23.8	208	Control local seawater		NA	NA
337	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	4/21/2022	10	120	P2	NA	17:40	6.5	23.8	208	Control local seawater		NA	NA
338	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	4/21/2022	10	0	P3 control	NA	17:40	6.32	25	72	Control local seawater		NA	NA
339	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	4/21/2022	10	15	P3 control	NA	17:40	6.49	24.7	72	Control local seawater		NA	NA
340	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	4/21/2022	10	30	P3 control	NA	17:40	6.57	24.4	72	Control local seawater		NA	NA
341	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	4/21/2022	10	45	P3 control	NA	17:40	6.63	24.1	72	Control local seawater		NA	NA
342	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	4/21/2022	10	62	P3 control	NA	17:40	6.63	23.8	72	Control local seawater		NA	NA
343	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	4/21/2022	10	90	P3 control	NA	17:40	6.63	23.8	72	Control local seawater		NA	NA
344	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	4/21/2022	10	120	P3 control	NA	17:40	6.46	23.8	72	Control local seawater		NA	NA
345	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	4/21/2022	10	0	P4	NA	17:40	6.44	25	208	Control local seawater		NA	331
346	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	4/21/2022	10	15	P4	NA	17:40	6.52	24.7	208	Control local seawater		NA	332
347	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	4/21/2022	10	30	P4	NA	17:40	6.57	24.4	208	Control local seawater		NA	333
348	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	4/21/2022	10	45	P4	NA	17:40	6.63	24.1	208	Control local seawater		NA	334
349	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	4/21/2022	10	62	P4	NA	17:40	6.68	23.8	208	Control local seawater		NA	335
350	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	4/21/2022	10	90	P4	NA	17:40	6.78	23.8	208	Control local seawater		NA	336
351	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	4/21/2022	10	120	P4	NA	17:40	6.52	23.8	208	Control local seawater		NA	337
352	Plastic	Intact	Cyclosalpa bakeri	D19-Cbak-B-1	Blastozooid	Moderate	12	6	3.6	4/21/2022	10	0	P5	NA	17:40	6.41	25	208	Pregnant, deep collected		NA	331
353	Plastic	Intact	Cyclosalpa bakeri	D19-Cbak-B-1	Blastozooid	Moderate	12	6	3.6	4/21/2022	10	15	P5	NA	17:40	6.49	24.7	208	Pregnant, deep collected		NA	332
354	Plastic	Intact	Cyclosalpa bakeri	D19-Cbak-B-1	Blastozooid	Moderate	12	6	3.6	4/21/2022	10	30	P5	NA	17:40	6.52	24.4	208	Pregnant, deep collected		NA	333
355	Plastic	Intact	Cyclosalpa bakeri	D19-Cbak-B-1	Blastozooid	Moderate	12	6	3.6	4/21/2022	10	45	P5	NA	17:40	6.57	24.1	208	Pregnant, deep collected		NA	334
356	Plastic	Intact	Cyclosalpa bakeri	D19-Cbak-B-1	Blastozooid	Moderate	12	6	3.6	4/21/2022	10	62	P5	NA	17:40	6.58	23.8	208	Pregnant, deep collected		NA	335
357	Plastic	Intact	Cyclosalpa bakeri	D19-Cbak-B-1	Blastozooid	Moderate	12	6	3.6	4/21/2022	10	90	P5	NA	17:40	6.61	23.8	208	Pregnant, deep collected		NA	336
358	Plastic	Intact	Cyclosalpa bakeri	D19-Cbak-B-1	Blastozooid	Moderate	12	6	3.6	4/21/2022	10	120	P5	NA	17:40	6.34	23.8	208	Pregnant, deep collected		NA	337
359	Plastic	Intact	Pegea sp.	D19-Pso-B-1	Blastozooid	Moderate	80	5	65	4/21/2022	10	0	P6	NA	17:40	5.99	25	980	Deep collected	In 980 ml jar	NA	331
360	Plastic	Intact	Pegea sp.	D19-Pso-B-1	Blastozooid	Moderate	80	5	65	4/21/2022	10	15	P6	NA	17:40	5.92	24.7	980	Deep collected	In 980 ml jar	NA	332
361	Plastic	Intact	Pegea sp.	D19-Pso-B-1	Blastozooid	Moderate	80	5	65	4/21/2022	10	30	P6	NA	17:40	5.73	24.4	980	Deep collected	In 980 ml jar	NA	333
362	Plastic	Intact	Pegea sp.	D19-Pso-B-1	Blastozooid	Moderate	80	5	65	4/21/2022	10	45	P6	NA	17:40	5.57	24.1	980	Deep collected	In 980 ml jar	NA	334
363	Plastic	Intact	Pegea sp.	D19-Pso-B-1	Blastozooid	Moderate	80	5	65	4/21/2022	10	62	P6	NA	17:40	5.35	23.8	980	Deep collected	In 980 ml jar	NA	335
364	Plastic	Intact	Pegea sp.	D19-Pso-B-1	Blastozooid	Moderate	80	5	65	4/21/2022	10	90	P6	NA	17:40	4.89	23.8	980	Deep collected	In 980 ml jar	NA	336
365	Plastic	Intact	Pegea sp.	D19-Pso-B-1	Blastozooid	Moderate	80	5	65	4/21/2022	10	120	P6	NA	17:40	4.43	23.8	980	Deep collected	In 980 ml jar	NA	337
366	Plastic	Intact	Pegea sp.	D19-Pso-B-2	Blastozooid	Moderate	65	5	50	4/21/2022	10	0	P7	NA	17:40	6.22	25	980		In 980 ml jar	NA	331
367	Plastic	Intact	Pegea sp.	D19-Pso-B-2	Blastozooid	Moderate	65	5	50	4/21/2022	10	15	P7	NA	17:40	6.14	24.7	980		In 980 ml jar	NA	332
368	Plastic	Intact	Pegea sp.	D19-Pso-B-2	Blastozooid	Moderate	65	5	50	4/21/2022	10	30	P7	NA	17:40	5.94	24.4	980		In 980 ml jar	NA	333
369	Plastic	Intact	Pegea sp.	D19-Pso-B-2	Blastozooid	Moderate	65	5	50	4/21/2022	10	45	P7	NA	17:40	5.83	24.1	980		In 980 ml jar	NA	334
370	Plastic	Intact	Pegea sp.	D19-Pso-B-2	Blastozooid	Moderate	65	5	50	4/21/2022	10	62	P7	NA	17:40	5.57	23.8	980		In 980 ml jar	NA	335
371	Plastic	Intact	Pegea sp.	D19-Pso-B-2	Blastozooid	Moderate	65	5	50	4/21/2022	10	90	P7	NA	17:40	5.24	23.8	980		In 980 ml jar	NA	336
372	Plastic	Intact	Pegea sp.	D19-Pso-B-2	Blastozooid	Moderate	65	5	50	4/21/2022	10	120	P7	NA	17:40	4.9	23.8	980		In 980 ml jar	NA	337
373	Plastic	Intact	Brooksia rostrata	D21-BR-OS-1	Oozoid+Stolon	Active	25	43	1	4/22/2022	11	0	P1	NA	18:05	6.29	25.3	208	Oozoid (25mm) + stolon (42 x 1-3mm), stolon broke up halfway		NA	389
374	Plastic	Intact	Brooksia rostrata	D21-BR-OS-1	Oozoid+Stolon	Active	25	43	1	4/22/2022	11	15	P1	NA	18:05	6.3	25.1	208	Oozoid (25mm) + stolon (42 x 1-3mm), stolon broke up halfway		NA	390
375	Plastic	Intact	Brooksia rostrata	D21-BR-OS-1	Oozoid+Stolon	Active	25	43	1	4/22/2022	11	30	P1	NA	18:05	6.3	24.8	208	Oozoid (25mm) + stolon (42 x 1-3mm), stolon broke up halfway		NA	391
376	Plastic	Intact	Brooksia rostrata	D21-BR-OS-1	Oozoid+Stolon	Active	25	43	1	4/22/2022	11	45	P1	NA	18:05	6.31	24.6	208	Oozoid (25mm) + stolon (42 x 1-3mm), stolon broke up halfway		NA	392
377	Plastic	Intact	Brooksia rostrata	D21-BR-OS-1	Oozoid+Stolon	Active	25	43	1	4/22/2022	11	60	P1	NA	18:05	6.38	24.2	208	Oozoid (25mm) + stolon (42 x 1-3mm), stolon broke up halfway		NA	393
378	Plastic	Intact	Brooksia rostrata	D21-BR-OS-1	Oozoid+Stolon	Active	25	43	1	4/22/2022	11	90	P1	NA	18:05	6.32	24.2	208	Oozoid (25mm) + stolon (42 x 1-3mm), stolon broke up halfway		NA	394
379	Plastic	Intact	Brooksia rostrata	D21-BR-OS-1	Oozoid+Stolon	Active	25	43	1	4/22/2022	11	120	P1	NA	18:05	6.32	24.1	208	Oozoid (25mm) + stolon (42 x 1-3mm), stolon broke up halfway		NA	395
380	Plastic	Intact	Brooksia rostrata	D21-BR-OS-1	Oozoid+Stolon	Active	25	43	1	4/22/2022	11	150	P1	NA	18:05	6.29	24.1	208	Oozoid (25mm) + stolon (42 x 1-3mm), stolon broke up halfway		NA	396
381	Plastic	Intact	Brooksia rostrata	D21-BR-B-1	Blastozooid	Moderate	4	14	0.2	4/22/2022	11	0	P2	NA	18:05	6.34	25.3	208	Colony disintegrated into loose zooids after refresh during safety stop		NA	389
382	Plastic	Intact	Brooksia rostrata	D21-BR-B-1	Blastozooid	Moderate	4	14	0.2	4/22/2022	11	15	P2	NA	18:05	6.35	25.1	208	Colony disintegrated into loose zooids after refresh during safety stop		NA	390
383	Plastic	Intact	Brooksia rostrata	D21-BR-B-1	Blastozooid	Moderate	4	14	0.2	4/22/2022	11	30	P2	NA	18:05	6.4	24.8	208	Colony disintegrated into loose zooids after refresh during safety stop		NA	391
384	Plastic	Intact	Brooksia rostrata	D21-BR-B-1	Blastozooid	Moderate	4	14	0.2	4/22/2022	11	45	P2	NA	18:05	6.42	24.6	208	Colony disintegrated into loose zooids after refresh during safety stop		NA	392
385	Plastic	Intact	Brooksia rostrata	D21-BR-B-1	Blastozooid	Moderate	4	14	0.2	4/22/2022	11	60	P2	NA	18:05	6.5	24.2	208	Colony disintegrated into loose zooids after refresh during safety stop		NA	393
386	Plastic	Intact	Brooksia rostrata	D21-BR-B-1	Blastozooid	Moderate	4	14	0.2	4/22/2022	11	90	P2	NA	18:05	6.5	24.2	208	Colony disintegrated into loose zooids after refresh during safety stop		NA	394
387	Plastic	Intact	Brooksia rostrata	D21-BR-B-1	Blastozooid	Moderate	4	14	0.2	4/22/2022	11	120	P2	NA	18:05	6.46	24.1	208	Colony disintegrated into loose zooids after refresh during safety stop		NA	395
388	Plastic	Intact	Brooksia rostrata	D21-BR-B-1	Blastozooid	Moderate	4	14	0.2	4/22/2022	11	150	P2	NA	18:05	6.45	24.1	208	Colony disintegrated into loose zooids after refresh during safety stop		NA	396
389	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	4/22/2022	11	0	P3 control	NA	18:05	6.38	25.3	72	Control local seawater		NA	NA
390	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	4/22/2022	11	15	P3 control	NA	18:05	6.44	25.1	72	Control local seawater		NA	NA
391	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	4/22/2022	11	30	P3 control	NA	18:05	6.48	24.8	72	Control local seawater		NA	NA
392	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	4/22/2022	11	45	P3 control	NA	18:05	6.51	24.6	72	Control local seawater		NA	NA
393	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	4/22/2022	11	60	P3 control	NA	18:05	6.56	24.2	72	Control local seawater		NA	NA
394	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	4/22/2022	11	90	P3 control	NA	18:05	6.54	24.2	72	Control local seawater		NA	NA
395	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	4/22/2022	11	120	P3 control	NA	18:05	6.52	24.1	72	Control local seawater		NA	NA
396	Plastic	Intact	NA	NA	NA	NA	NA	NA	NA	4/22/2022	11	150	P3 control	NA	18:05	6.52	24.1	72	Control local seawater		NA	NA
397	Plastic	Intact	Iasis (Weelia) cylindrica	D21-Icyl-B-1	Blastozooid	Moderate	7	21	1.3	4/22/2022	11	0	P4	NA	18:05	6.31	25.3	208			NA	389
398	Plastic	Intact	Iasis (Weelia) cylindrica	D21-Icyl-B-1	Blastozooid	Moderate	7	21	1.3	4/22/2022	11	15	P4	NA	18:05	6.3	25.1	208			NA	390
399	Plastic	Intact	Iasis (Weelia) cylindrica	D21-Icyl-B-1	Blastozooid	Moderate	7	21	1.3	4/22/2022	11	30	P4	NA	18:05	6.3	24.8	208			NA	391
